SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
792	BOIL (OF LIQUID)	broader	2493	BOIL
333	PLAIT	similar	1043	BRAID
363	DWELL (LIVE, RESIDE)	sameas	1099	RESIDE
1411	LIE (REST)	resultsin	215	LIE DOWN
1411	LIE (REST)	broader	2116	REST OR SLEEP
2220	MOVE QUICKLY	narrower	1519	RUN
347	SORGHUM	broader	931	MILLET
1491	MOUSE	broader	2139	MUROID (MOUSE OR RAT)
2114	BELLY OR STOMACH	narrower	1251	BELLY
2114	BELLY OR STOMACH	narrower	819	STOMACH
2004	BEND	intransitiveof	2224	BEND (SOMETHING)
2021	GRASP	similar	855	SEIZE
833	ENDURE	similar	1186	LAST (ENDURE)
1130	WE (EXCLUSIVE)	broader	1212	WE
2100	THATCH OR ROOF	narrower	279	THATCH
2100	THATCH OR ROOF	narrower	769	ROOF
2416	YOUNGER BROTHER (OF MAN)	broader	559	BROTHER (OF MAN)
2416	YOUNGER BROTHER (OF MAN)	broader	1760	YOUNGER BROTHER
1050	MOTHER-IN-LAW	narrower	2257	MOTHER-IN-LAW (OF MAN)
1050	MOTHER-IN-LAW	narrower	2256	MOTHER-IN-LAW (OF WOMAN)
1033	GRIND	narrower	1520	CRUSH
1033	GRIND	usedfor	636	MILL
1432	CUT	narrower	2155	CUT (WITH SCISSORS)
1432	CUT	narrower	2156	CUT (WITH KNIFE)
1204	BARK	broader	2127	BARK OR SKIN
267	NIT	broader	2280	LOUSE OR NIT
2561	HURT (SENSE PAIN)	broader	1101	SUFFER
669	RODENT	broader	2139	MUROID (MOUSE OR RAT)
2209	BECOME EXTINGUISHED	resultsin	127	EXTINGUISH
1551	FEMALE	narrower	2260	FEMALE (OF PERSON)
1551	FEMALE	narrower	2262	FEMALE (OF ANIMAL)
837	BLUE	broader	2382	BLUE OR GREEN
122	CART	sameas	959	WAGON
122	CART	broader	2549	VEHICLE
2154	PLOUGH (INSTRUMENT)	requires	1921	PLOUGH
396	TABLET	sameas	395	PILL
1337	PIG	narrower	2487	MALE PIG
1337	PIG	narrower	2488	FEMALE PIG
1522	SOCK	broader	329	STOCKING
2142	RUN AWAY	broader	1519	RUN
2142	RUN AWAY	broader	956	FLEE
2310	US (OBLIQUE CASE OF WE)	baseof	1212	WE
2282	SEA OR OCEAN	narrower	645	OCEAN
2282	SEA OR OCEAN	narrower	1474	SEA
819	STOMACH	broader	2114	BELLY OR STOMACH
2549	VEHICLE	narrower	122	CART
1099	RESIDE	sameas	363	DWELL (LIVE, RESIDE)
855	SEIZE	similar	2021	GRASP
2017	MIX	similar	696	STIR
701	SLOW	sameas	2165	SLOWLY
210	LIFE	broader	2269	BREATH OR LIFE
53	SPIRIT	narrower	811	SOUL
1388	SHADE	sameas	2275	SHADOW
1434	STAB	similar	398	PIERCE
940	STRAIN	similar	86	SIEVE
244	LEFT	similar	2182	LEFT HAND
1102	CLIMB	broader	705	GO UP (ASCEND)
2265	DAUGHTER-IN-LAW (OF MAN)	broader	1057	DAUGHTER-IN-LAW
2254	FATHER-IN-LAW (OF WOMAN)	broader	1055	FATHER-IN-LAW
2091	YOUR	sameas	732	YOUR (SINGULAR)
51	SORE	broader	1109	WOUND
1301	FOOT	broader	2098	FOOT OR LEG
2212	ARRIVE (OF AN EVENT)	broader	1387	ARRIVE
1486	PLANT (SOMETHING)	similar	479	GROW
2260	FEMALE (OF PERSON)	broader	1551	FEMALE
2178	MATERNAL GRANDFATHER	broader	1383	GRANDFATHER
2369	BETEL NUT	sameas	217	BETELNUT
1608	LISTEN	similar	1408	HEAR
2348	CRAB	narrower	2349	SHRIMP
1761	YOUNGER SISTER	narrower	2420	YOUNGER SISTER (OF MAN)
1761	YOUNGER SISTER	narrower	2421	YOUNGER SISTER (OF WOMAN)
1201	FEATHER	broader	2381	FEATHER OR FUR OR HAIR
913	CROW	narrower	2543	RAVEN
1408	HEAR	similar	1608	LISTEN
1408	HEAR	broader	2126	EAR OR HEAR
2144	SPRING OR WELL	narrower	849	SPRING (OF WATER)
2144	SPRING OR WELL	narrower	954	WELL
2065	STEP (VERB)	similar	575	TREAD
353	STRIKE	broader	2133	STRIKE OR BEAT
2111	YOU TWO	broader	1213	YOU
2174	PATERNAL UNCLE (FATHERS YOUNGER BROTHER)	broader	1985	FATHER'S BROTHER
2164	MARRY (AS MAN)	broader	203	MARRY
1200	HUSBAND	broader	2514	SPOUSE
1027	BUG	broader	620	INSECT
330	HEADBAND	broader	331	HEADDRESS
1588	TURN	narrower	1444	TURN AROUND
1588	TURN	narrower	1445	TURN (SOMETHING)
2480	MALE DOG	broader	2009	DOG
281	POST	sameas	282	POLE
1387	ARRIVE	narrower	2212	ARRIVE (OF AN EVENT)
2473	HIS (GENITIVE OF HE)	broader	2092	HIS OR HER
1826	ANGRY	resultsin	2215	BECOME ANGRY
775	TRUMPET	broader	2136	BRASS INSTRUMENT (HORN OR TRUMPET)
2460	DINGO	broader	2461	WOLF-LIKE ANIMAL
1673	ARM	broader	2121	ARM OR HAND
1109	WOUND	narrower	51	SORE
872	TAR	similar	664	RESIN
906	TREE	broader	2141	TREE OR WOOD
1507	FRUIT	narrower	904	BERRY
2384	COUSIN OR SISTER-IN-LAW	narrower	1643	COUSIN
2384	COUSIN OR SISTER-IN-LAW	narrower	2317	SISTER-IN-LAW
2257	MOTHER-IN-LAW (OF MAN)	broader	1050	MOTHER-IN-LAW
2417	YOUNGER BROTHER (OF WOMAN)	broader	1760	YOUNGER BROTHER
2417	YOUNGER BROTHER (OF WOMAN)	broader	560	BROTHER (OF WOMAN)
1998	COMMAND	broader	1128	ORDER
1100	COOK (SOMETHING)	narrower	2146	ROAST OR FRY
2266	SON-IN-LAW (OF WOMAN)	broader	1056	SON-IN-LAW
2109	FEAR OR FRIGHTEN	narrower	781	FEAR (FRIGHT)
2109	FEAR OR FRIGHTEN	narrower	1419	FEAR (BE AFRAID)
2463	MOON OR MONTH	narrower	1313	MOON
2463	MOON OR MONTH	narrower	1370	MONTH
2456	LARGE WILD HERBIVORE	narrower	164	KANGAROO
2456	LARGE WILD HERBIVORE	narrower	1936	DEER
398	PIERCE	similar	1434	STAB
929	VERMIN	broader	620	INSECT
126	SWEAT (PERSPIRE)	producedby	125	SWEAT (SUBSTANCE)
126	SWEAT (PERSPIRE)	broader	2458	PERSPIRE OR SWEAT
1236	WHAT	broader	2147	WHO OR WHAT
2104	HOLD OR TAKE	narrower	1749	TAKE
2104	HOLD OR TAKE	narrower	1448	HOLD
962	WOMAN	narrower	77	YOUNG WOMAN
962	WOMAN	narrower	907	OLD WOMAN
962	WOMAN	broader	2105	FEMALE PERSON
962	WOMAN	narrower	2471	LADY
164	KANGAROO	broader	2456	LARGE WILD HERBIVORE
20	SCYTHE	broader	2132	SICKLE OR SCYTHE
1232	WARM	broader	2272	HOT OR WARM
1232	WARM	narrower	2110	WARM (OF WEATHER)
2615	FLESH OR MEAT	narrower	634	MEAT
2615	FLESH OR MEAT	narrower	2259	FLESH
29	GELD	sameas	2563	CASTRATE
2487	MALE PIG	broader	1337	PIG
123	FOREHEAD	broader	2107	HAIR OR FOREHEAD
1479	DOLPHIN	narrower	114	PORPOISE
1346	THROAT	broader	1333	NECK
2133	STRIKE OR BEAT	narrower	1433	HIT
2133	STRIKE OR BEAT	narrower	353	STRIKE
2133	STRIKE OR BEAT	narrower	1665	BEAT
696	STIR	similar	2017	MIX
2143	LONG OR TALL	narrower	711	TALL
2143	LONG OR TALL	narrower	1203	LONG
2271	THINK	narrower	1415	THINK (REFLECT)
2271	THINK	narrower	1513	THINK (BELIEVE)
2191	LOW (HEIGHT)	similar	721	LOW
1586	SMELL (PERCEIVE)	broader	2124	SMELL
