ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-111-1			1	only one	1
Heggarty-2016-111-2	1498	TWO	2	two	2
Heggarty-2016-111-3	492	THREE	3	three	3
Heggarty-2016-111-4	1500	FOUR	4	four	4
Heggarty-2016-111-5	493	FIVE	5	five	5
Heggarty-2016-111-6	1703	SIX	6	six	6
Heggarty-2016-111-7	1704	SEVEN	7	seven	7
Heggarty-2016-111-8	1705	EIGHT	8	eight	8
Heggarty-2016-111-9	1483	NINE	9	nine	9
Heggarty-2016-111-10	1515	TEN	10	ten	10
Heggarty-2016-111-11			11	hundred	20
Heggarty-2016-111-12	1226	YEAR	12	year	51
Heggarty-2016-111-13			13	time, occasion	52
Heggarty-2016-111-14			14	as for me...	101
Heggarty-2016-111-15			15	we (incl.)	102
Heggarty-2016-111-16			16	you (sg.)	104
Heggarty-2016-111-17			17	he/she	106
Heggarty-2016-111-18			18	they	107
Heggarty-2016-111-19	1240	NOT	19	not	112
Heggarty-2016-111-20	1236	WHAT	20	what?	121
Heggarty-2016-111-21	1235	WHO	21	who?	122
Heggarty-2016-111-22			22	where?	123
Heggarty-2016-111-23			23	which?	126
Heggarty-2016-111-24	1214	THIS	24	this	131
Heggarty-2016-111-25			25	that	132
Heggarty-2016-111-26			26	here	136
Heggarty-2016-111-27			27	now	191
Heggarty-2016-111-28	1256	HEAD	28	head	201
Heggarty-2016-111-29	1040	HAIR	29	hair	205
Heggarty-2016-111-30			30	‘having eyes’	211
Heggarty-2016-111-31	1221	NOSE	31	nose	212
Heggarty-2016-111-32	1247	EAR	32	ear	213
Heggarty-2016-111-33	674	MOUTH	33	mouth	221
Heggarty-2016-111-34	1205	TONGUE	34	tongue	223
Heggarty-2016-111-35	1380	TOOTH	35	tooth	224
Heggarty-2016-111-36	1277	HAND	36	hand	231
Heggarty-2016-111-37	1333	NECK	37	neck	241
Heggarty-2016-111-38	1301	FOOT	38	foot	251
Heggarty-2016-111-39			39	‘having blood’	261
Heggarty-2016-111-40	1394	BONE	40	bone	262
Heggarty-2016-111-41	763	SKIN	41	skin	263
Heggarty-2016-111-42	1258	FINGERNAIL	42	fingernail	264
Heggarty-2016-111-43			43	belly	271
Heggarty-2016-111-44			44	with my heart	281
Heggarty-2016-111-45	2009	DOG	45	dog	312
Heggarty-2016-111-46	1392	LOUSE	46	louse	343
Heggarty-2016-111-47	1393	HORN (ANATOMY)	47	horn	382
Heggarty-2016-111-48	1220	TAIL	48	tail	383
Heggarty-2016-111-49			49	person	401
Heggarty-2016-111-50	962	WOMAN	50	woman	403
Heggarty-2016-111-51			51	and your name?	410
Heggarty-2016-111-52	1225	DAY (NOT NIGHT)	52	day	501
Heggarty-2016-111-53	1233	NIGHT	53	night	502
Heggarty-2016-111-54	1343	SUN	54	sun	511
Heggarty-2016-111-55	1313	MOON	55	moon	512
Heggarty-2016-111-56			56	world	514
Heggarty-2016-111-57	1388	SHADE	57	shadow	517
Heggarty-2016-111-58	948	WATER	58	water	521
Heggarty-2016-111-59			59	lake	523
Heggarty-2016-111-60	221	FIRE	60	fire	541
Heggarty-2016-111-61	646	ASH	61	ash	543
Heggarty-2016-111-62	857	STONE	62	stone	551
Heggarty-2016-111-63			63	earth	552
Heggarty-2016-111-64	960	WIND	64	wind	585
Heggarty-2016-111-65	1368	BREAD	65	bread	602
Heggarty-2016-111-66			66	meat	603
Heggarty-2016-111-67	1274	SALT	67	salt	604
Heggarty-2016-111-68	323	FAT (ORGANIC SUBSTANCE)	68	fat (grease)	606
Heggarty-2016-111-69			69	cob of corn	612
Heggarty-2016-111-70			70	firewood	622
Heggarty-2016-111-71			71	field	641
Heggarty-2016-111-72			72	house	651
Heggarty-2016-111-73			73	door	652
Heggarty-2016-111-74	667	ROAD	74	road	681
Heggarty-2016-111-75			75	it’s gone black	701
Heggarty-2016-111-76	1335	WHITE	76	white	702
Heggarty-2016-111-77	1202	BIG	77	big	711
Heggarty-2016-111-78	1591	UP	78	high up	712
Heggarty-2016-111-79			79	still young	751
Heggarty-2016-111-80			80	good	771
Heggarty-2016-111-81			81	wise	775
Heggarty-2016-111-82	1429	FULL	82	full	784
Heggarty-2016-111-83	1210	HEAVY	83	heavy	786
Heggarty-2016-111-84			84	far	788
Heggarty-2016-111-85			85	warm	791
Heggarty-2016-111-86	1398	DRY	86	dry	793
Heggarty-2016-111-87	717	SWEET	87	sweet	796
Heggarty-2016-111-88			88	happy	797
Heggarty-2016-111-89	1231	NEW	89	new	798
Heggarty-2016-111-90			90	if s/he comes	802
Heggarty-2016-111-91			91	walk	803
Heggarty-2016-111-92			92	carry	805
Heggarty-2016-111-93			93	stand	811
Heggarty-2016-111-94			94	hide	827
Heggarty-2016-111-95			95	for eating	831
Heggarty-2016-111-96			96	spit	837
Heggarty-2016-111-97			97	I would sleep	841
Heggarty-2016-111-98			98	s/he’s still alive	842
Heggarty-2016-111-99			99	die	843
Heggarty-2016-111-100			100	kill	844
Heggarty-2016-111-101			101	see	851
Heggarty-2016-111-102			102	know	855
Heggarty-2016-111-103			103	laugh	858
Heggarty-2016-111-104			104	cry	859
Heggarty-2016-111-105			105	play	860
Heggarty-2016-111-106			106	do, make	861
Heggarty-2016-111-107			107	give	862
Heggarty-2016-111-108			108	sew	874
Heggarty-2016-111-109			109	want	891
Heggarty-2016-111-110			110	fight	894
Heggarty-2016-111-111			111	say	904
