ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-118-1	1	afraid	1419	FEAR (BE AFRAID)
Mann-2004-118-2	2	animal	619	ANIMAL
Mann-2004-118-3	3	ashes	646	ASH
Mann-2004-118-4	4	belly (exterior)	1251	BELLY
Mann-2004-118-5	5	bird	937	BIRD
Mann-2004-118-6	6	bite	1403	BITE
Mann-2004-118-7	7	black	163	BLACK
Mann-2004-118-8	8	blood	946	BLOOD
Mann-2004-118-9	9	blow	175	BLOW (OF WIND)
Mann-2004-118-10	10	bone	1394	BONE
Mann-2004-118-11	11	breast/milk	2129	BREAST OR MILK
Mann-2004-118-12	12	breath	870	BREATH
Mann-2004-118-13	13	burn	2102	BURN
Mann-2004-118-14	14	child	2099	CHILD
Mann-2004-118-15	15	cloud (white)	1489	CLOUD
Mann-2004-118-16	16	cold	1287	COLD (OF TEMPERATURE)
Mann-2004-118-17	17	cut (with knife)	2156	CUT (WITH KNIFE)
Mann-2004-118-18	18	die	1494	DIE
Mann-2004-118-19	19	dig	1418	DIG
Mann-2004-118-20	20	dog	2009	DOG
Mann-2004-118-21	21	drink	1401	DRINK
Mann-2004-118-22	22	ear	1247	EAR
Mann-2004-118-23	23	earth/soil	1228	EARTH (SOIL)
Mann-2004-118-24	24	eat	1336	EAT
Mann-2004-118-25	25	egg	744	EGG
Mann-2004-118-26	26	eye	1248	EYE
Mann-2004-118-27	27	fall (v, down)	1280	FALL
Mann-2004-118-28	28	far	1406	FAR
Mann-2004-118-29	29	fat (n)	323	GREASE
Mann-2004-118-30	30	feather	1201	FEATHER
Mann-2004-118-31	31	fingernail/claw	2128	NAIL OR CLAW
Mann-2004-118-32	32	fire	221	FIRE
Mann-2004-118-33	33	fish	227	FISH
Mann-2004-118-34	34	five	493	FIVE
Mann-2004-118-35	35	flower	239	FLOWER
Mann-2004-118-36	36	fly (v)	1441	FLY (MOVE THROUGH AIR)
Mann-2004-118-37	37	foot	1301	FOOT
Mann-2004-118-38	38	four	1500	FOUR
Mann-2004-118-39	39	fruit	1507	FRUIT
Mann-2004-118-40	40	full (container)	1429	FULL
Mann-2004-118-41	41	give	1447	GIVE
Mann-2004-118-42	42	grass	606	GRASS
Mann-2004-118-43	43	hair	1040	HAIR
Mann-2004-118-44	44	hand	1277	HAND
Mann-2004-118-45	45	head	1256	HEAD
Mann-2004-118-46	46	heart	1223	HEART
Mann-2004-118-47	47	heavy	1210	HEAVY
Mann-2004-118-48	48	horn (buffalo)	1393	HORN (KERATINIZED SKIN)
Mann-2004-118-49	49	hunt	1435	HUNT
Mann-2004-118-50	50	I (1sg.)	1209	I
Mann-2004-118-51	51	intestine	1334	GUTS
Mann-2004-118-52	52	kill	1417	KILL
Mann-2004-118-53	53	know (v facts)	1410	KNOW (SOMETHING)
Mann-2004-118-54	54	laugh (not smile)	1355	LAUGH
Mann-2004-118-55	55	leaf	628	LEAF
Mann-2004-118-56	56	left (side or hand)	244	LEFT
Mann-2004-118-57	57	live	1422	BE ALIVE
Mann-2004-118-58	58	liver	1224	LIVER
Mann-2004-118-59	59	long (length)	1203	LONG
Mann-2004-118-60	60	louse	1392	LOUSE
Mann-2004-118-61	61	many	1198	MANY
Mann-2004-118-62	62	moon	1313	MOON
Mann-2004-118-63	63	mountain	639	MOUNTAIN
Mann-2004-118-64	64	mouth	674	MOUTH
Mann-2004-118-65	65	name	1405	NAME
Mann-2004-118-66	66	near	1942	NEAR
Mann-2004-118-67	67	neck (front)	1333	NECK
Mann-2004-118-68	68	new	1231	NEW
Mann-2004-118-69	69	night	1233	NIGHT
Mann-2004-118-70	70	nose	1221	NOSE
Mann-2004-118-71	71	old age	1789	AGE
Mann-2004-118-72	72	one	1493	ONE
Mann-2004-118-73	73	person (n)	683	PERSON
Mann-2004-118-74	74	rain (n)	658	RAIN (PRECIPATION)
Mann-2004-118-75	75	red	156	RED
Mann-2004-118-76	76	right (side/hand)	1019	RIGHT
Mann-2004-118-77	77	river	666	RIVER
Mann-2004-118-78	78	road/path	667	ROAD
Mann-2004-118-79	79	root	670	ROOT
Mann-2004-118-80	80	round	1395	ROUND
Mann-2004-118-81	81	rub	1449	RUB
Mann-2004-118-82	82	salt	1274	SALT
Mann-2004-118-83	83	scratch (v, fingernail)	1436	SCRATCH
Mann-2004-118-84	84	see	1409	SEE
Mann-2004-118-85	85	sew	1457	SEW
Mann-2004-118-86	86	sharp (knife)	1396	SHARP
Mann-2004-118-87	87	sit (state)	1416	SIT
Mann-2004-118-88	88	skin	763	SKIN
Mann-2004-118-89	89	sky	1732	SKY
Mann-2004-118-90	90	sleep	1585	SLEEP
Mann-2004-118-91	91	smell	2124	SMELL
Mann-2004-118-92	92	smoke	778	SMOKE (EXHAUST)
Mann-2004-118-93	93	snake	730	SNAKE
Mann-2004-118-94	94	spit	1440	SPIT
Mann-2004-118-95	95	squeeze (one hand)	1414	SQUEEZE
