ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1960-200-1	1	all	98	ALL
Swadesh-1960-200-2	2	and	1577	AND
Swadesh-1960-200-3	3	animal	619	ANIMAL
Swadesh-1960-200-4	4	ashes	646	ASH
Swadesh-1960-200-5	5	at	1461	AT
Swadesh-1960-200-6	6	back	1291	BACK
Swadesh-1960-200-7	7	bad	1292	BAD
Swadesh-1960-200-8	8	bark	1204	BARK
Swadesh-1960-200-9	9	because	1157	BECAUSE
Swadesh-1960-200-10	10	belly	1251	BELLY
Swadesh-1960-200-11	11	big	1202	BIG
Swadesh-1960-200-12	12	bird	937	BIRD
Swadesh-1960-200-13	13	bite	1403	BITE
Swadesh-1960-200-14	14	black	163	BLACK
Swadesh-1960-200-15	15	blood	946	BLOOD
Swadesh-1960-200-16	16	blow	175	BLOW (OF WIND)
Swadesh-1960-200-17	17	bone	1394	BONE
Swadesh-1960-200-18	18	breathe	1407	BREATHE
Swadesh-1960-200-19	19	burn	2102	BURN
Swadesh-1960-200-20	20	child	2099	CHILD
Swadesh-1960-200-21	21	cloud	1489	CLOUD
Swadesh-1960-200-22	22	cold	1287	COLD (OF TEMPERATURE)
Swadesh-1960-200-23	23	come	1446	COME
Swadesh-1960-200-24	24	count	1420	COUNT
Swadesh-1960-200-25	25	cut	1432	CUT
Swadesh-1960-200-26	26	day	1225	DAY (NOT NIGHT)
Swadesh-1960-200-27	27	die	1494	DIE
Swadesh-1960-200-28	28	dig	1418	DIG
Swadesh-1960-200-29	29	dirty	1230	DIRTY
Swadesh-1960-200-30	30	dog	2009	DOG
Swadesh-1960-200-31	31	drink	1401	DRINK
Swadesh-1960-200-32	32	dry	1398	DRY
Swadesh-1960-200-33	33	dull	379	BLUNT
Swadesh-1960-200-34	34	dust	2	DUST
Swadesh-1960-200-35	35	ear	1247	EAR
Swadesh-1960-200-36	36	earth	1228	EARTH (SOIL)
Swadesh-1960-200-37	37	eat	1336	EAT
Swadesh-1960-200-38	38	egg	744	EGG
Swadesh-1960-200-39	39	eye	1248	EYE
Swadesh-1960-200-40	40	fall	1280	FALL
Swadesh-1960-200-41	41	far	1406	FAR
Swadesh-1960-200-42	42	fat-grease	323	GREASE
Swadesh-1960-200-43	43	father	1217	FATHER
Swadesh-1960-200-44	44	fear	1419	FEAR (BE AFRAID)
Swadesh-1960-200-45	45	feather	1201	FEATHER
Swadesh-1960-200-46	46	few	1242	FEW
