ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wilkins-1996-41-1	1	person	683	PERSON
Wilkins-1996-41-2	2	soul	811	SOUL
Wilkins-1996-41-3	3	corpse	767	CORPSE
Wilkins-1996-41-4	4	body	1480	BODY
Wilkins-1996-41-5	5	belly	1251	BELLY
Wilkins-1996-41-6	6	chest	1592	CHEST
Wilkins-1996-41-7	7	breast	1402	BREAST
Wilkins-1996-41-8	8	head	1256	HEAD
Wilkins-1996-41-9	9	face	1560	FACE
Wilkins-1996-41-10	10	eye	1248	EYE
Wilkins-1996-41-11	11	ear	1247	EAR
Wilkins-1996-41-12	12	nose	1221	NOSE
Wilkins-1996-41-13	13	mouth	674	MOUTH
Wilkins-1996-41-14	14	lip	478	LIP
Wilkins-1996-41-15	15	tooth	1380	TOOTH
Wilkins-1996-41-16	16	jaw	798	JAW
Wilkins-1996-41-17	17	cheek	1730	CHEEK
Wilkins-1996-41-18	18	chin	1510	CHIN
Wilkins-1996-41-19	19	leg	1297	LEG
Wilkins-1996-41-20	20	foot	1301	FOOT
Wilkins-1996-41-21	21	toe	1389	TOE
Wilkins-1996-41-22	22	toenail	2662	TOENAIL
Wilkins-1996-41-23	23	thigh	800	THIGH
Wilkins-1996-41-24	24	knee	1371	KNEE
Wilkins-1996-41-25	25	arm	1673	ARM
Wilkins-1996-41-26	26	hand	1277	HAND
Wilkins-1996-41-27	27	finger	1303	FINGER
Wilkins-1996-41-28	28	fingernail	1258	FINGERNAIL
Wilkins-1996-41-29	29	elbow	981	ELBOW
Wilkins-1996-41-30	30	penis	1222	PENIS
Wilkins-1996-41-31	31	testicle	797	TESTICLES
Wilkins-1996-41-32	32	skin	763	SKIN
Wilkins-1996-41-33	33	bone	1394	BONE
Wilkins-1996-41-34	34	skull	1605	SKULL
Wilkins-1996-41-35	35	brain	1583	BRAIN
Wilkins-1996-41-36	36	intestines	1991	INTESTINES
Wilkins-1996-41-37	37	hear	1408	HEAR
Wilkins-1996-41-38	38	liver	1224	LIVER
Wilkins-1996-41-39	39	kidney	489	KIDNEY
Wilkins-1996-41-40	40	lungs	688	LUNG
Wilkins-1996-41-41	41	blood	946	BLOOD
