ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Gregersen-1976-217-1	1422	BE ALIVE	1	—alive
Gregersen-1976-217-2	98	ALL	2	*all
Gregersen-1976-217-3	1577	AND	3	and
Gregersen-1976-217-4	619	ANIMAL	4	animal
Gregersen-1976-217-5	1673	ARM	5	—arm
Gregersen-1976-217-6	646	ASH	6	ashes
Gregersen-1976-217-7	1461	AT	7	at
Gregersen-1976-217-8	1291	BACK	8	back
Gregersen-1976-217-9	1292	BAD	9	bad
Gregersen-1976-217-10	1204	BARK	10	*bark
Gregersen-1976-217-11	1157	BECAUSE	11	because
Gregersen-1976-217-12	1251	BELLY	12	*belly
Gregersen-1976-217-13	1202	BIG	13	*big
Gregersen-1976-217-14	937	BIRD	14	*bird
Gregersen-1976-217-15	1403	BITE	15	*bite
Gregersen-1976-217-16	163	BLACK	16	*black
Gregersen-1976-217-17	946	BLOOD	17	*blood
Gregersen-1976-217-18	175	BLOW (OF WIND)	18	blow
Gregersen-1976-217-19	1394	BONE	19	*bone
Gregersen-1976-217-20	1402	BREAST	20	**breasts
Gregersen-1976-217-21	1407	BREATHE	21	breathe
Gregersen-1976-217-22	2102	BURN	22	*burn
Gregersen-1976-217-23	2099	CHILD	23	child
Gregersen-1976-217-24	72	CLAW	24	claw
Gregersen-1976-217-25	1489	CLOUD	25	cloud
Gregersen-1976-217-26	1287	COLD	26	*cold
Gregersen-1976-217-27	1446	COME	27	*come
Gregersen-1976-217-28	1420	COUNT	28	count
Gregersen-1976-217-29	1432	CUT	29	cut
Gregersen-1976-217-30	706	DARK	30	**dark
Gregersen-1976-217-31	1225	DAY (NOT NIGHT)	31	day
Gregersen-1976-217-32	1494	DIE	32	*die
Gregersen-1976-217-33	1418	DIG	33	dig
Gregersen-1976-217-34	1230	DIRTY	34	dirty
Gregersen-1976-217-35	2009	DOG	35	*dog
Gregersen-1976-217-36	1326	DOWN	36	—down
Gregersen-1976-217-37	1401	DRINK	37	*drink
