ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Category	Category_ID	Page
Dawson-1887-731-1	1	Man	1554	MAN	Persons	1	28
Dawson-1887-731-2	2	Woman	962	WOMAN	Persons	1	28
Dawson-1887-731-3	3	Old man	406	OLD MAN	Persons	1	28
Dawson-1887-731-4	4	Old woman	907	OLD WOMAN	Persons	1	28
Dawson-1887-731-5	5	Young man	76	YOUNG MAN	Persons	1	28
Dawson-1887-731-6	6	Young woman	77	YOUNG WOMAN	Persons	1	28
Dawson-1887-731-7	7	Virgin	2298	VIRGIN	Persons	1	28
Dawson-1887-731-8	8	Boy	1366	BOY	Persons	1	28
Dawson-1887-731-9	9	Girl	1646	GIRL	Persons	1	28
Dawson-1887-731-10	10	Infant	1289	BABY	Persons	1	28
Dawson-1887-731-11	11	Infant just born			Persons	1	28
Dawson-1887-731-12	12	Male infant			Persons	1	28
Dawson-1887-731-13	13	Female infant			Persons	1	28
Dawson-1887-731-14	14	Twins	1005	TWINS	Persons	1	28
Dawson-1887-731-15	15	Married man	424	MARRIED MAN	Persons	1	28
Dawson-1887-731-16	16	Married woman	426	MARRIED WOMAN	Persons	1	28
Dawson-1887-731-17	17	Widower	1981	WIDOWER	Persons	1	28
Dawson-1887-731-18	18	Widow	1756	WIDOW	Persons	1	28
Dawson-1887-731-19	19	Bachelor (old)			Persons	1	28
Dawson-1887-731-20	20	Maid (old)			Persons	1	28
Dawson-1887-731-21	21	Old people	725	OLD PERSON	Persons	1	28
Dawson-1887-731-22	22	Young people			Persons	1	28
Dawson-1887-731-23	23	Great talker			Persons	1	28
Dawson-1887-731-24	24	Silent person			Persons	1	28
Dawson-1887-731-25	25	Thief	1160	THIEF	Persons	1	28
Dawson-1887-731-26	26	Head	1256	HEAD	Part of the Body	2	28
Dawson-1887-731-27	27	Hair	1040	HAIR	Part of the Body	2	28
Dawson-1887-731-28	28	Crown of the head	1943	CROWN (OF HEAD)	Part of the Body	2	28
Dawson-1887-731-29	29	Scalp			Part of the Body	2	28
Dawson-1887-731-30	30	Face	1560	FACE	Part of the Body	2	28
Dawson-1887-731-31	31	Forehead	123	FOREHEAD	Part of the Body	2	28
Dawson-1887-731-32	32	Eye	1248	EYE	Part of the Body	2	28
Dawson-1887-731-33	33	Pupil of the eye	1658	PUPIL	Part of the Body	2	28
