ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Shiro-1973-200-1	1209	I	1	I
Shiro-1973-200-2	1215	THOU	2	thou
Shiro-1973-200-3	1212	WE	3	we
Shiro-1973-200-4	1214	THIS	4	this
Shiro-1973-200-5	78	THAT	5	that
Shiro-1973-200-6	1235	WHO	6	who
Shiro-1973-200-7	1236	WHAT	7	what
Shiro-1973-200-8	1240	NOT	8	not
Shiro-1973-200-9	98	ALL	9	all
Shiro-1973-200-10	1198	MANY	10	many
Shiro-1973-200-11	1493	ONE	11	one
Shiro-1973-200-12	1498	TWO	12	two
Shiro-1973-200-13	1202	BIG	13	big
Shiro-1973-200-14	1246	SMALL	14	small
Shiro-1973-200-15	1203	LONG	15	long
Shiro-1973-200-16	962	WOMAN	16	woman
Shiro-1973-200-17	1554	MAN	17	man
Shiro-1973-200-18	683	PERSON	18	person
Shiro-1973-200-19	227	FISH	19	fish
Shiro-1973-200-20	937	BIRD	20	bird
Shiro-1973-200-21	2009	DOG	21	dog
Shiro-1973-200-22	1392	LOUSE	22	louse
Shiro-1973-200-23	906	TREE	23	tree
Shiro-1973-200-24	1204	BARK	24	bark (of tree)
Shiro-1973-200-25	628	LEAF	25	leaf
Shiro-1973-200-26	670	ROOT	26	root
Shiro-1973-200-27	714	SEED	27	seed
Shiro-1973-200-28	946	BLOOD	28	blood
Shiro-1973-200-29	634	MEAT	29	meat
Shiro-1973-200-30	763	SKIN	30	skin
Shiro-1973-200-31	1394	BONE	31	bone
Shiro-1973-200-32	1282	FAT (SUBSTANCE)	32	grease (fat)
Shiro-1973-200-33	744	EGG	33	egg
Shiro-1973-200-34	1393	HORN (KERATINIZED SKIN)	34	horn
Shiro-1973-200-35	1220	TAIL	35	tail
Shiro-1973-200-36	1201	FEATHER	36	feather
Shiro-1973-200-37	1040	HAIR	37	hair
Shiro-1973-200-38	1256	HEAD	38	head
Shiro-1973-200-39	1247	EAR	39	ear
Shiro-1973-200-40	1248	EYE	40	eye
Shiro-1973-200-41	1221	NOSE	41	nose
Shiro-1973-200-42	674	MOUTH	42	mouth
Shiro-1973-200-43	1380	TOOTH	43	tooth
Shiro-1973-200-44	1205	TONGUE	44	tongue
Shiro-1973-200-45	72	CLAW	45	claw
Shiro-1973-200-46	1301	FOOT	46	foot
Shiro-1973-200-47	1371	KNEE	47	knee
Shiro-1973-200-48	1277	HAND	48	hand
Shiro-1973-200-49	1251	BELLY	49	belly
Shiro-1973-200-50	1333	NECK	50	neck
Shiro-1973-200-51	1402	BREAST	51	breast
Shiro-1973-200-52	1223	HEART	52	heart
Shiro-1973-200-53	1224	LIVER	53	liver
Shiro-1973-200-54	1401	DRINK	54	drink
Shiro-1973-200-55	1336	EAT	55	eat
Shiro-1973-200-56	1403	BITE	56	bite
Shiro-1973-200-57	1409	SEE	57	see
Shiro-1973-200-58	1408	HEAR	58	hear
Shiro-1973-200-59	1410	KNOW (SOMETHING)	59	know
Shiro-1973-200-60	1585	SLEEP	60	sleep
Shiro-1973-200-61	1494	DIE	61	die
Shiro-1973-200-62	1417	KILL	62	kill
Shiro-1973-200-63	1439	SWIM	63	swim
Shiro-1973-200-64	1441	FLY (MOVE THROUGH AIR)	64	fly
Shiro-1973-200-65	1443	WALK	65	walk
Shiro-1973-200-66	1446	COME	66	come
Shiro-1973-200-67	1411	LIE (REST)	67	lie
Shiro-1973-200-68	1416	SIT	68	sit
Shiro-1973-200-70	1447	GIVE	70	give
Shiro-1973-200-71	1458	SAY	71	say
Shiro-1973-200-72	1343	SUN	72	sun
Shiro-1973-200-73	1313	MOON	73	moon
Shiro-1973-200-74	1430	STAR	74	star
Shiro-1973-200-75	948	WATER	75	water
Shiro-1973-200-76	666	RIVER	76	river
Shiro-1973-200-77	857	STONE	77	stone
Shiro-1973-200-78	671	SAND	78	sand
Shiro-1973-200-79	1228	EARTH (SOIL)	79	earth
Shiro-1973-200-80	1489	CLOUD	80	cloud
Shiro-1973-200-81	778	SMOKE (EXHAUST)	81	smoke
Shiro-1973-200-82	221	FIRE	82	fire
Shiro-1973-200-83	646	ASH	83	ash
