ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1971-100-1	1	I	1209	I
Swadesh-1971-100-2	2	you	1213	YOU
Swadesh-1971-100-3	3	We	1212	WE
Swadesh-1971-100-4	4	this	1214	THIS
Swadesh-1971-100-5	5	that	78	THAT
Swadesh-1971-100-6	6	who	1235	WHO
Swadesh-1971-100-7	7	what	1236	WHAT
Swadesh-1971-100-8	8	not	1240	NOT
Swadesh-1971-100-9	9	all	98	ALL
Swadesh-1971-100-10	10	many	428	BE MANY
Swadesh-1971-100-11	11	one	1493	ONE
Swadesh-1971-100-12	12	two	1498	TWO
Swadesh-1971-100-13	13	big	1202	BIG
Swadesh-1971-100-14	14	long	1203	LONG
Swadesh-1971-100-15	15	*small	1246	SMALL
Swadesh-1971-100-16	16	woman	962	WOMAN
Swadesh-1971-100-17	17	man	1554	MAN
Swadesh-1971-100-18	18	person	683	PERSON
Swadesh-1971-100-19	19	*fish	227	FISH
Swadesh-1971-100-20	20	bird	937	BIRD
Swadesh-1971-100-21	21	dog	2009	DOG
Swadesh-1971-100-22	22	louse	1392	LOUSE
Swadesh-1971-100-23	23	tree	906	TREE
Swadesh-1971-100-24	24	seed	714	SEED
Swadesh-1971-100-25	25	leaf	628	LEAF
Swadesh-1971-100-26	26	root	670	ROOT
Swadesh-1971-100-27	27	bark	1204	BARK
Swadesh-1971-100-28	28	skin	763	SKIN
Swadesh-1971-100-29	29	flesh	2259	FLESH (OF A HUMAN)
Swadesh-1971-100-30	30	blood	946	BLOOD
Swadesh-1971-100-31	31	bone	1394	BONE
Swadesh-1971-100-32	32	grease	323	FAT (ORGANIC SUBSTANCE)
Swadesh-1971-100-33	33	egg	744	EGG
Swadesh-1971-100-34	34	horn	1393	HORN (KERATINIZED SKIN)
Swadesh-1971-100-35	35	tail	1220	TAIL
Swadesh-1971-100-36	36	feather	1201	FEATHER
Swadesh-1971-100-37	37	hair	1040	HAIR
Swadesh-1971-100-38	38	head	1256	HEAD
Swadesh-1971-100-39	39	ear	1247	EAR
Swadesh-1971-100-40	40	eye	1248	EYE
Swadesh-1971-100-41	41	nose	1221	NOSE
Swadesh-1971-100-42	42	*mouth	674	MOUTH
Swadesh-1971-100-43	43	tooth	1380	TOOTH
Swadesh-1971-100-44	44	*tongue	1205	TONGUE
Swadesh-1971-100-45	45	claw	72	CLAW
Swadesh-1971-100-46	46	foot	1301	FOOT
Swadesh-1971-100-47	47	knee	1371	KNEE
Swadesh-1971-100-48	48	hand	1277	HAND
Swadesh-1971-100-49	49	belly	1251	BELLY
Swadesh-1971-100-50	50	neck	1333	NECK
Swadesh-1971-100-51	51	breasts	1402	BREAST
Swadesh-1971-100-52	52	heart	1223	HEART
Swadesh-1971-100-53	53	liver	1224	LIVER
Swadesh-1971-100-54	54	drink	1401	DRINK
Swadesh-1971-100-55	55	eat	1336	EAT
Swadesh-1971-100-56	56	bite	1403	BITE
Swadesh-1971-100-57	57	see	1409	SEE
Swadesh-1971-100-58	58	hear	1408	HEAR
Swadesh-1971-100-59	59	know	1410	KNOW (SOMETHING)
Swadesh-1971-100-60	60	sleep	1585	SLEEP
Swadesh-1971-100-61	61	die	1494	DIE
Swadesh-1971-100-62	62	kill	1417	KILL
Swadesh-1971-100-63	63	swim	1439	SWIM
Swadesh-1971-100-64	64	fly	1441	FLY (MOVE THROUGH AIR)
Swadesh-1971-100-65	65	walk	1443	WALK
Swadesh-1971-100-66	66	come	1446	COME
Swadesh-1971-100-67	67	lie	1411	LIE (REST)
Swadesh-1971-100-68	68	sit	1416	SIT
Swadesh-1971-100-69	69	stand	1442	STAND
Swadesh-1971-100-70	70	give	1447	GIVE
Swadesh-1971-100-71	71	say	1458	SAY
Swadesh-1971-100-72	72	sun	1343	SUN
Swadesh-1971-100-73	73	*moon	1313	MOON
Swadesh-1971-100-74	74	star	1430	STAR
Swadesh-1971-100-75	75	water	948	WATER
Swadesh-1971-100-76	76	rain	2108	RAINING OR RAIN
Swadesh-1971-100-77	77	stone	857	STONE
Swadesh-1971-100-78	78	sand	671	SAND
Swadesh-1971-100-79	79	earth	1228	EARTH (SOIL)
Swadesh-1971-100-80	80	cloud	1489	CLOUD
Swadesh-1971-100-81	81	smoke	778	SMOKE (EXHAUST)
Swadesh-1971-100-82	82	fire	221	FIRE
Swadesh-1971-100-83	83	ash	646	ASH
Swadesh-1971-100-84	84	burn	2102	BURN
Swadesh-1971-100-85	85	path	2252	PATH
Swadesh-1971-100-86	86	mountain	639	MOUNTAIN
Swadesh-1971-100-87	87	red	156	RED
Swadesh-1971-100-88	88	green	1425	GREEN
Swadesh-1971-100-89	89	yellow	1424	YELLOW
Swadesh-1971-100-90	90	white	1335	WHITE
Swadesh-1971-100-91	91	black	163	BLACK
Swadesh-1971-100-92	92	night	1233	NIGHT
Swadesh-1971-100-93	93	hot	1286	HOT
Swadesh-1971-100-94	94	cold	102	COMMON COLD (DISEASE)
Swadesh-1971-100-95	95	full	1429	FULL
Swadesh-1971-100-96	96	new	1231	NEW
Swadesh-1971-100-97	97	good	1035	GOOD
Swadesh-1971-100-98	98	round	1395	ROUND
Swadesh-1971-100-99	99	dry	1398	DRY
Swadesh-1971-100-100	100	name	1405	NAME
