ID	NUMBER	ENGLISH	KOREAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lee-2015-246-1	1	above	위	1741	ABOVE
Lee-2015-246-2	2	all	모두	98	ALL
Lee-2015-246-3	3	and	와/과	1577	AND
Lee-2015-246-4	4	animal	짐승	619	ANIMAL
Lee-2015-246-5	5	ash	재	646	ASH
Lee-2015-246-6	6	at	에	1461	AT
Lee-2015-246-7	7	back	등	1291	BACK
Lee-2015-246-8	8	bad, evil	나쁘다	3764	BAD OR EVIL
Lee-2015-246-9	9	bark (of a tree)	나무껍질	1204	BARK
Lee-2015-246-10	10	because	때문에	1157	BECAUSE
Lee-2015-246-11	11	belly	배	1251	BELLY
Lee-2015-246-12	12	below	아래	1485	BELOW OR UNDER
Lee-2015-246-13	13	big	크다	1202	BIG
Lee-2015-246-14	14	bird	새	937	BIRD
Lee-2015-246-15	15	black	검정/검다/까맣다	163	BLACK
Lee-2015-246-16	16	blood	피	946	BLOOD
Lee-2015-246-17	17	bone	뼈	1394	BONE
Lee-2015-246-18	18	branch	가지	1531	BRANCH
Lee-2015-246-19	19	breast	가슴	1402	BREAST
Lee-2015-246-20	20	child	어린아이	2099	CHILD
Lee-2015-246-21	21	claw	손톱	72	CLAW
Lee-2015-246-22	22	cloud	구름	1489	CLOUD
Lee-2015-246-23	23	cold	추워/춥다	1287	COLD
Lee-2015-246-24	24	correct, true	바르다/맞다	1725	CORRECT (RIGHT)
Lee-2015-246-25	25	day	낮	1225	DAY (NOT NIGHT)
Lee-2015-246-26	26	dirty	더럽다	1230	DIRTY
Lee-2015-246-27	27	dog	개	2009	DOG
Lee-2015-246-28	28	dry	마르다	1398	DRY
Lee-2015-246-29	29	dull	무디다/무디다	379	BLUNT
Lee-2015-246-30	30	dust	티끌	2	DUST
Lee-2015-246-31	31	ear	귀	1247	EAR
Lee-2015-246-32	32	earth/soil	흙	1228	EARTH (SOIL)
Lee-2015-246-33	33	egg	달걀	744	EGG
Lee-2015-246-34	34	Eight	여덟	1705	EIGHT
Lee-2015-246-35	35	eye	눈	1248	EYE
Lee-2015-246-36	36	far	멀다	1406	FAR
Lee-2015-246-37	37	fat/grease	기름	323	FAT (ORGANIC SUBSTANCE)
Lee-2015-246-38	38	father	아버지/아빠	1217	FATHER
Lee-2015-246-39	39	feather	깃	1201	FEATHER
Lee-2015-246-40	40	few	조금	1242	FEW
Lee-2015-246-41	41	Fifty	쉰	1717	FIFTY
Lee-2015-246-42	42	fire	불	221	FIRE
Lee-2015-246-43	43	fish	고기	227	FISH
Lee-2015-246-44	44	Five	다섯	493	FIVE
Lee-2015-246-45	45	flower	꽃	239	FLOWER
Lee-2015-246-46	46	fog	안개	249	FOG
Lee-2015-246-47	47	foot	발	1301	FOOT
Lee-2015-246-48	48	Four	넷/네	1500	FOUR
Lee-2015-246-49	49	fruit	열매	1507	FRUIT
Lee-2015-246-50	50	full	가득하다	1429	FULL
Lee-2015-246-51	51	good	좋다	1035	GOOD
Lee-2015-246-52	52	grass	풀/잔디	606	GRASS
Lee-2015-246-53	53	green	초록/푸르다	1425	GREEN
Lee-2015-246-54	54	hair	털	1040	HAIR
Lee-2015-246-55	55	hand	손	1277	HAND
Lee-2015-246-56	56	he/she	그	2642	HE OR SHE
Lee-2015-246-57	57	head	머리	1256	HEAD
Lee-2015-246-58	58	heart	염통	1223	HEART
Lee-2015-246-59	59	heavy	무겁다	1210	HEAVY
Lee-2015-246-60	60	here	여기	136	HERE
Lee-2015-246-61	61	horn	뿔	1393	HORN (ANATOMY)
Lee-2015-246-62	62	house	집	1252	HOUSE
Lee-2015-246-63	63	how?	어떻게	1239	HOW
Lee-2015-246-64	64	husband	남편/사내	1200	HUSBAND
Lee-2015-246-65	65	I	나	1209	I
Lee-2015-246-66	66	ice	얼음	617	ICE
Lee-2015-246-67	67	if	만약	1459	IF
Lee-2015-246-68	68	in, inside	에/안에	1606	INSIDE
Lee-2015-246-69	69	intestines	장/애/창자	1991	INTESTINES
Lee-2015-246-70	70	knee	무릎	1371	KNEE
Lee-2015-246-71	71	lake	호수	624	LAKE
Lee-2015-246-72	72	leaf	잎	628	LEAF
Lee-2015-246-73	73	left	왼쪽	244	LEFT
Lee-2015-246-74	74	leg	다리	1297	LEG
Lee-2015-246-75	75	lightening	번개	1654	LIGHTNING
Lee-2015-246-76	76	liver	간	1224	LIVER
Lee-2015-246-77	77	long	길다	1203	LONG
Lee-2015-246-78	78	louse	이	1392	LOUSE
Lee-2015-246-79	79	man/male	사내	1553	MALE
Lee-2015-246-80	80	many	많이	1198	MANY
Lee-2015-246-81	81	meat/flesh	살/고기	2615	FLESH OR MEAT
Lee-2015-246-82	82	moon	달	1313	MOON
Lee-2015-246-83	83	mosquito	모기	1509	MOSQUITO
Lee-2015-246-84	84	mother	어머니/엄마	1216	MOTHER
Lee-2015-246-85	85	mountain	뫼/산	639	MOUNTAIN
Lee-2015-246-86	86	mouth	입	674	MOUTH
Lee-2015-246-87	87	name	이름	1405	NAME
Lee-2015-246-88	88	narrow	좁다	1267	NARROW
Lee-2015-246-89	89	near	가깝다	1942	NEAR
Lee-2015-246-90	90	neck	목	1333	NECK
Lee-2015-246-91	91	needle	바늘	1382	NEEDLE (FOR SEWING)
Lee-2015-246-92	92	new	새/새롭다	1231	NEW
Lee-2015-246-93	93	night	밤	1233	NIGHT
Lee-2015-246-94	94	Nine	아홉	1483	NINE
Lee-2015-246-95	95	no, not	아니다/안/아니	2279	NO OR NOT
Lee-2015-246-96	96	nose	코	1221	NOSE
Lee-2015-246-97	97	old	옛/오래되다	1229	OLD
Lee-2015-246-98	98	One	하나/한	1493	ONE
Lee-2015-246-99	99	One Hundred	온	1634	HUNDRED
Lee-2015-246-100	100	One Thousand	즈믄	1843	THOUSAND
Lee-2015-246-101	101	other	다른	197	OTHER
Lee-2015-246-102	102	painful, sick	앓다	2103	PAINFUL OR SICK
Lee-2015-246-103	103	person/human being	사람	683	PERSON
Lee-2015-246-104	104	rain	비	658	RAIN (PRECIPITATION)
Lee-2015-246-105	105	rat	쥐	1490	RAT
Lee-2015-246-106	106	red	빨갛다	156	RED
Lee-2015-246-107	107	right	오른쪽	1019	RIGHT
Lee-2015-246-108	108	river	강	666	RIVER
Lee-2015-246-109	109	road	길	667	ROAD
Lee-2015-246-110	110	root	뿌리	670	ROOT
Lee-2015-246-111	111	rope	새끼줄/노끈	1218	ROPE
Lee-2015-246-112	112	rotten	썩다	1728	ROTTEN
Lee-2015-246-113	113	round	둥글다	1395	ROUND
Lee-2015-246-114	114	salt	소금	1274	SALT
Lee-2015-246-115	115	sand	모래	671	SAND
Lee-2015-246-116	116	sea	바다	1474	SEA
Lee-2015-246-117	117	seed	씨앗	714	SEED
Lee-2015-246-118	118	Seven	일곱	1704	SEVEN
Lee-2015-246-119	119	sharp	날카롭다	1396	SHARP
Lee-2015-246-120	120	short	짧다	1645	SHORT
Lee-2015-246-121	121	shoulder	어깨	1482	SHOULDER
Lee-2015-246-122	122	shy, ashamed	부끄럽다	487	SHY
Lee-2015-246-123	123	Six	여섯	1703	SIX
Lee-2015-246-124	124	skin	살갗	763	SKIN
Lee-2015-246-125	125	sky	하늘	1732	SKY
Lee-2015-246-126	126	small	작다	1246	SMALL
Lee-2015-246-127	127	smell	냄새	2124	SMELL
Lee-2015-246-128	128	smoke	연기	778	SMOKE (EXHAUST)
Lee-2015-246-129	129	smooth	부드럽다	1234	SMOOTH
Lee-2015-246-130	130	snake	뱀	730	SNAKE
Lee-2015-246-131	131	snow	눈	784	SNOW
Lee-2015-246-132	132	some	몇몇/약간	1241	SOME
Lee-2015-246-133	133	spider	거미	843	SPIDER
Lee-2015-246-134	134	star	별	1430	STAR
Lee-2015-246-135	135	stick/wood	막대기	1295	STICK
Lee-2015-246-136	136	stone	돌	857	STONE
Lee-2015-246-137	137	straight	바르다	1404	STRAIGHT
Lee-2015-246-138	138	sun	해	1343	SUN
Lee-2015-246-139	139	tail	꼬리	1220	TAIL
Lee-2015-246-140	140	Ten	열	1515	TEN
Lee-2015-246-141	141	that	그/저	78	THAT
Lee-2015-246-142	142	thatch/roof	지붕	2100	THATCH OR ROOF
Lee-2015-246-143	143	there	저기	1937	THERE
Lee-2015-246-144	144	they	그들	817	THEY
Lee-2015-246-145	145	thick	굵다	1244	THICK
Lee-2015-246-146	146	thin	얇다	2308	THIN
Lee-2015-246-147	147	this	이	1214	THIS
Lee-2015-246-148	148	thou	너	1215	THOU
Lee-2015-246-149	149	Three	셋/세	492	THREE
Lee-2015-246-150	150	thunder	천둥	1150	THUNDER
Lee-2015-246-151	151	to bite	물다	1403	BITE
Lee-2015-246-152	152	to blow	불다	175	BLOW (OF WIND)
Lee-2015-246-153	153	to breathe	숨쉬다	1407	BREATHE
Lee-2015-246-154	154	to burn	타다/태우다	2102	BURN
Lee-2015-246-155	155	to buy	사다	1869	BUY
Lee-2015-246-156	156	to chew	씹다	321	CHEW
Lee-2015-246-157	157	to choose	고르다	1750	CHOOSE
Lee-2015-246-158	158	to climb	오르다	1102	CLIMB
Lee-2015-246-159	159	to come	오다	1446	COME
Lee-2015-246-160	160	to cook	요리하다	1100	COOK (SOMETHING)
Lee-2015-246-161	161	to count	세다	1420	COUNT
Lee-2015-246-162	162	to cry	울다	1839	CRY
Lee-2015-246-163	163	to cut, hack	베다/자르다	1432	CUT
Lee-2015-246-164	164	to die, be dead	죽다	2101	BE DEAD OR DIE
Lee-2015-246-165	165	to dig	파다	1418	DIG
Lee-2015-246-166	166	to dream	꿈꾸다	1920	DREAM (SOMETHING)
Lee-2015-246-167	167	to drink	마시다	1401	DRINK
Lee-2015-246-168	168	to eat	먹다	1336	EAT
Lee-2015-246-169	169	to fall	떨어지다	1280	FALL
Lee-2015-246-170	170	to fear	두려워하다	1419	FEAR (BE AFRAID)
Lee-2015-246-171	171	to fight	싸우다/다투다	1423	FIGHT
Lee-2015-246-172	172	to float	뜨다	1574	FLOAT
Lee-2015-246-173	173	to flow	흐르다	2003	FLOW
Lee-2015-246-174	174	to fly	날다	1441	FLY (MOVE THROUGH AIR)
Lee-2015-246-175	175	to freeze	얼다	1431	FREEZE
Lee-2015-246-176	176	to give	주다	1447	GIVE
Lee-2015-246-177	177	to grow	기르다	479	GROW
Lee-2015-246-178	178	to hear	듣다	1408	HEAR
Lee-2015-246-179	179	to hide	숨기다	2486	HIDE
Lee-2015-246-180	180	to hit	치다	1433	HIT
Lee-2015-246-181	181	to hold	잡다	1448	HOLD
Lee-2015-246-182	182	to hunt	사냥하다	1435	HUNT
Lee-2015-246-183	183	to kill	죽이다	1417	KILL
Lee-2015-246-184	184	to know, be knowledgeable	알다	3626	KNOW
Lee-2015-246-185	185	to laugh	웃다	1355	LAUGH
Lee-2015-246-186	186	to lie down	눕다	215	LIE DOWN
Lee-2015-246-187	187	to live, be alive	살다	1422	BE ALIVE
Lee-2015-246-188	188	to open, uncover	열다	1156	OPEN
Lee-2015-246-189	189	to plant	심다	1486	PLANT (SOMETHING)
Lee-2015-246-190	190	to play	놀다	1413	PLAY
Lee-2015-246-191	191	to pound, beat	때리다	354	POUND
Lee-2015-246-192	192	to pull	당기다	1455	PULL
Lee-2015-246-193	193	to push	밀다	1452	PUSH
Lee-2015-246-194	194	to rub	문지르다/비비다	1449	RUB
Lee-2015-246-195	195	to say	말하다	1458	SAY
Lee-2015-246-196	196	to scratch	긁다	1436	SCRATCH
Lee-2015-246-197	197	to see	보다	1409	SEE
Lee-2015-246-198	198	to sew	꿰매다	1457	SEW
Lee-2015-246-199	199	to shoot	쏘다	1172	SHOOT
Lee-2015-246-200	200	to sing	노래하다	1261	SING
Lee-2015-246-201	201	to sit	앉다	1416	SIT
Lee-2015-246-202	202	to sleep	자다	1585	SLEEP
Lee-2015-246-203	203	to spit	뱉다	1440	SPIT
Lee-2015-246-204	204	to split	가르다/찢다	1437	SPLIT
Lee-2015-246-205	205	to squeeze	짜다	1414	SQUEEZE
Lee-2015-246-206	206	to stab, pierce	찌르다	1434	STAB
Lee-2015-246-207	207	to stand	서다	1442	STAND
Lee-2015-246-208	208	to steal	훔치다	713	STEAL
Lee-2015-246-209	209	to suck	빨다	1421	SUCK
Lee-2015-246-210	210	to swell	붓다	1573	SWELL
Lee-2015-246-211	211	to swim	헤엄치다	1439	SWIM
