ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Urban-2016-160-1	1	animal	Nature-related and topological concepts	619	ANIMAL
Urban-2016-160-2	2	ashes	Nature-related and topological concepts	646	ASH
Urban-2016-160-3	3	bark	Nature-related and topological concepts	1204	BARK
Urban-2016-160-4	4	bay	Nature-related and topological concepts	663	BAY
Urban-2016-160-5	5	beak	Nature-related and topological concepts	73	BEAK
Urban-2016-160-6	6	bird	Nature-related and topological concepts	937	BIRD
Urban-2016-160-7	7	bloom (blossom, flower)	Nature-related and topological concepts	239	FLOWER
Urban-2016-160-8	8	branch	Nature-related and topological concepts	1531	BRANCH
Urban-2016-160-9	9	bud	Nature-related and topological concepts	1684	BUD
Urban-2016-160-10	10	cave	Nature-related and topological concepts	1155	CAVE
Urban-2016-160-11	11	clearing	Nature-related and topological concepts	2284	CLEARING
Urban-2016-160-12	12	cloud	Nature-related and topological concepts	1489	CLOUD
Urban-2016-160-13	13	coal	Nature-related and topological concepts	2658	COAL
Urban-2016-160-14	14	coast	Nature-related and topological concepts	1525	COAST
Urban-2016-160-15	15	dew	Nature-related and topological concepts	1977	DEW
Urban-2016-160-16	16	dust	Nature-related and topological concepts	2	DUST
Urban-2016-160-17	17	eclipse	Nature-related and topological concepts	2285	ECLIPSE
Urban-2016-160-18	18	egg	Nature-related and topological concepts	744	EGG
Urban-2016-160-19	19	embers	Nature-related and topological concepts	67	EMBERS
Urban-2016-160-20	20	estuary	Nature-related and topological concepts	2286	ESTUARY
Urban-2016-160-21	21	feather	Nature-related and topological concepts	1201	FEATHER
Urban-2016-160-22	22	flame	Nature-related and topological concepts	889	FLAME
Urban-2016-160-23	23	flood	Nature-related and topological concepts	613	HIGH TIDE
Urban-2016-160-24	24	foam	Nature-related and topological concepts	1768	FOAM
Urban-2016-160-25	25	fog/mist	Nature-related and topological concepts	249	FOG
Urban-2016-160-26	26	forest	Nature-related and topological concepts	420	FOREST
Urban-2016-160-27	27	gold	Nature-related and topological concepts	1369	GOLD
Urban-2016-160-28	28	grass	Nature-related and topological concepts	606	GRASS
Urban-2016-160-29	29	headland	Nature-related and topological concepts	1662	CAPE
Urban-2016-160-30	30	honey	Nature-related and topological concepts	942	HONEY
Urban-2016-160-31	31	horizon	Nature-related and topological concepts	2287	HORIZON
Urban-2016-160-32	32	horn	Nature-related and topological concepts	1393	HORN (ANATOMY)
Urban-2016-160-33	33	lagoon	Nature-related and topological concepts	623	LAGOON
Urban-2016-160-34	34	lake	Nature-related and topological concepts	624	LAKE
Urban-2016-160-35	35	lightning	Nature-related and topological concepts	1654	LIGHTNING
Urban-2016-160-36	36	meteoroid (shooting/shining star)	Nature-related and topological concepts	2288	METEROID (SHOOTING OR SHINING STAR)
Urban-2016-160-37	37	milk	Nature-related and topological concepts	635	MILK
Urban-2016-160-38	38	milky way	Nature-related and topological concepts	2289	MILKY WAY
Urban-2016-160-39	39	moon	Nature-related and topological concepts	1313	MOON
Urban-2016-160-40	40	mountain	Nature-related and topological concepts	639	MOUNTAIN
Urban-2016-160-41	41	mushroom (fungus)	Nature-related and topological concepts	641	MUSHROOM
Urban-2016-160-42	42	nest	Nature-related and topological concepts	539	NEST
Urban-2016-160-43	43	plant	Nature-related and topological concepts	653	PLANT (VEGETATION)
Urban-2016-160-44	44	puddle	Nature-related and topological concepts	2290	PUDDLE
Urban-2016-160-45	45	rain	Nature-related and topological concepts	658	RAIN (PRECIPITATION)
Urban-2016-160-46	46	rainbow	Nature-related and topological concepts	1733	RAINBOW
Urban-2016-160-47	47	resin	Nature-related and topological concepts	664	RESIN
Urban-2016-160-48	48	river/stream	Nature-related and topological concepts	3311	FLOWING BODY OF WATER
Urban-2016-160-49	49	river bed	Nature-related and topological concepts	993	RIVER BED
Urban-2016-160-50	50	root	Nature-related and topological concepts	670	ROOT
Urban-2016-160-51	51	seed	Nature-related and topological concepts	714	SEED
Urban-2016-160-52	52	shadow	Nature-related and topological concepts	1388	SHADE
