ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Liu-2007-201-1	1	白	white	1335	WHITE
Liu-2007-201-2	2	背	back	1291	BACK
Liu-2007-201-3	3	鼻子	nose	1221	NOSE
Liu-2007-201-4	4	冰	ice	617	ICE
Liu-2007-201-5	5	脖子	neck	1333	NECK
Liu-2007-201-6	6	薄	thin	2307	THIN (OF HAIR AND LEAF)
Liu-2007-201-7	7	不	not	1240	NOT
Liu-2007-201-8	8	擦	rub	1449	RUB
Liu-2007-201-9	9	草	grass	606	GRASS
Liu-2007-201-10	10	長	long	1203	LONG
Liu-2007-201-11	11	腸子	guts	1334	GUTS
Liu-2007-201-12	12	唱	sing	1261	SING
Liu-2007-201-13	13	塵土	dust	2	DUST
Liu-2007-201-14	14	吃	eat	1336	EAT
Liu-2007-201-15	15	翅膀	wing	1257	WING
Liu-2007-201-16	16	蟲	worm	1219	WORM
Liu-2007-201-17	17	吹	blow	175	BLOW (OF WIND)
Liu-2007-201-18	18	刺	stab	1434	STAB
Liu-2007-201-19	19	打	hit	1433	HIT
Liu-2007-201-20	20	打	fight	1423	FIGHT
Liu-2007-201-21	21	打獵	hunt	1435	HUNT
Liu-2007-201-22	22	大	big	1202	BIG
Liu-2007-201-23	23	呆，笨	dull	1397	DULL
Liu-2007-201-24	24	掉	fall	1280	FALL
Liu-2007-201-25	25	動物	animal	619	ANIMAL
Liu-2007-201-26	26	肚子	belly	1251	BELLY
Liu-2007-201-27	27	短	short	1645	SHORT
Liu-2007-201-28	28	對	correct	1725	CORRECT (RIGHT)
Liu-2007-201-29	29	多	many	1198	MANY
Liu-2007-201-30	30	耳朵	ear	1247	EAR
Liu-2007-201-31	31	二	two	1498	TWO
Liu-2007-201-32	32	飛	fly	1441	FLY (MOVE THROUGH AIR)
Liu-2007-201-33	33	風	wind	960	WIND
Liu-2007-201-34	34	縫	sew	1457	SEW
Liu-2007-201-35	35	腐爛	rotten	1728	ROTTEN
Liu-2007-201-36	36	父親	father	1217	FATHER
Liu-2007-201-37	37	乾	dry	1398	DRY
Liu-2007-201-38	38	肝	liver	1224	LIVER
Liu-2007-201-39	39	給	give	1447	GIVE
Liu-2007-201-40	40	根	root	670	ROOT
Liu-2007-201-41	41	狗	dog	2009	DOG
Liu-2007-201-42	42	骨頭	bone	1394	BONE
Liu-2007-201-43	43	棍子	stick	1295	STICK
Liu-2007-201-44	44	孩子	child	1304	CHILD (YOUNG HUMAN)
Liu-2007-201-45	45	海	sea	1474	SEA
Liu-2007-201-46	46	好	good	1035	GOOD
Liu-2007-201-47	47	喝	drink	1401	DRINK
Liu-2007-201-48	48	和	and	1577	AND
Liu-2007-201-49	49	河	river	666	RIVER
Liu-2007-201-50	50	江	river	666	RIVER
Liu-2007-201-51	51	黑	black	163	BLACK
Liu-2007-201-52	52	紅	red	156	RED
Liu-2007-201-53	53	厚	thick	1244	THICK
Liu-2007-201-54	54	呼吸	breathe	1407	BREATHE
Liu-2007-201-55	55	湖	lake	624	LAKE
Liu-2007-201-56	56	花	flower	239	FLOWER
Liu-2007-201-57	57	壞	bad	1292	BAD
Liu-2007-201-58	58	黃	yellow	1424	YELLOW
Liu-2007-201-59	59	灰	ash	646	ASH
Liu-2007-201-60	60	活的	live(alive)	2309	LIVE
Liu-2007-201-61	61	火	fire	221	FIRE
Liu-2007-201-62	62	雞蛋	egg	744	EGG
Liu-2007-201-63	63	尖	sharp	1396	SHARP
Liu-2007-201-64	64	角	horn	1393	HORN (ANATOMY)
Liu-2007-201-65	65	腳	foot	1301	FOOT
Liu-2007-201-66	66	結冰	freeze	1431	FREEZE
Liu-2007-201-67	67	近	near	1942	NEAR
Liu-2007-201-68	68	砍	cut	1432	CUT
Liu-2007-201-69	69	看見	see	1409	SEE
Liu-2007-201-70	70	寬	wide	1243	WIDE
Liu-2007-201-71	71	捆	tie	1917	TIE
Liu-2007-201-72	72	拉	pull	1455	PULL
Liu-2007-201-73	73	來	come	1446	COME
Liu-2007-201-74	74	老	old	2112	OLD (AGED)
Liu-2007-201-75	75	冷	cold	1287	COLD
Liu-2007-201-76	76	流	flow	2003	FLOW
Liu-2007-201-77	77	路	path	2252	PATH
Liu-2007-201-78	78	綠	green	1425	GREEN
Liu-2007-201-79	79	滿	full	1429	FULL
Liu-2007-201-80	80	名字	name	1405	NAME
Liu-2007-201-81	81	母親	mather	1216	MOTHER
Liu-2007-201-82	82	拿	hold-take	2104	HOLD OR TAKE
Liu-2007-201-83	83	哪裡	where	1237	WHERE
Liu-2007-201-84	84	那	that	78	THAT
Liu-2007-201-85	85	那人	there	1937	THERE
Liu-2007-201-86	86	男人	man	1554	MAN
Liu-2007-201-87	87	你	you	1213	YOU
Liu-2007-201-88	88	年	year	1226	YEAR
Liu-2007-201-89	89	鳥	bird	937	BIRD
Liu-2007-201-90	90	女人	woman	962	WOMAN
Liu-2007-201-91	91	嘔吐	vomit	1278	VOMIT
Liu-2007-201-92	92	怕	fear	1419	FEAR (BE AFRAID)
Liu-2007-201-93	93	皮膚	skin	763	SKIN
Liu-2007-201-94	94	漂浮	float	1574	FLOAT
Liu-2007-201-95	95	平	smooth	1234	SMOOTH
Liu-2007-201-96	96	妻子	wife	1199	WIFE
Liu-2007-201-97	97	全部	all	98	ALL
Liu-2007-201-98	98	熱	hot	1286	HOT
Liu-2007-201-99	99	人	person	683	PERSON
Liu-2007-201-100	100	扔	throw	1456	THROW
Liu-2007-201-101	101	肉	flesh	2259	FLESH
Liu-2007-201-102	102	如果	if	1459	IF
Liu-2007-201-103	103	乳房	breasts	1402	BREAST
Liu-2007-201-104	104	三	three	492	THREE
Liu-2007-201-105	105	森林	woods	2311	WOODS
Liu-2007-201-106	106	殺	kill	1417	KILL
Liu-2007-201-107	107	沙子	sand	671	SAND
Liu-2007-201-108	108	山	mountain	639	MOUNTAIN
Liu-2007-201-109	109	燒	burn	2102	BURN
Liu-2007-201-110	110	少	few	1242	FEW
Liu-2007-201-111	111	舌頭	tongue	1205	TONGUE
Liu-2007-201-112	112	蛇	snake	730	SNAKE
Liu-2007-201-113	113	繩子	rope	1218	ROPE
Liu-2007-201-114	114	獅子	louse	1392	LOUSE
Liu-2007-201-115	115	濕	wet	1726	WET
Liu-2007-201-116	116	什麼	what	1236	WHAT
Liu-2007-201-117	117	石頭	stone	857	STONE
Liu-2007-201-118	118	手	hand	1277	HAND
Liu-2007-201-119	119	樹	tree	906	TREE
Liu-2007-201-120	120	樹皮	bark	1204	BARK
Liu-2007-201-121	121	數	count	1420	COUNT
Liu-2007-201-122	122	誰	who	1235	WHO
Liu-2007-201-123	123	水	water	948	WATER
Liu-2007-201-124	124	水果	fruit	1507	FRUIT
Liu-2007-201-125	125	睡	sleep	1585	SLEEP
Liu-2007-201-126	126	吮	suck	1421	SUCK
Liu-2007-201-127	127	說	say	1458	SAY
Liu-2007-201-128	128	撕裂	split	1437	SPLIT
Liu-2007-201-129	129	死	die	1494	DIE
Liu-2007-201-130	130	四	four	1500	FOUR
Liu-2007-201-131	131	他	he	1211	HE
Liu-2007-201-132	132	他們	they	817	THEY
Liu-2007-201-133	133	太陽	sun	1343	SUN
Liu-2007-201-134	134	躺	lie	1411	LIE (REST)
Liu-2007-201-135	135	天	day	1225	DAY (NOT NIGHT)
Liu-2007-201-136	136	天空	sky	1732	SKY
Liu-2007-201-137	137	聽見	hear	1408	HEAR
Liu-2007-201-138	138	頭	head	1256	HEAD
Liu-2007-201-139	139	頭髮	hair	1040	HAIR
Liu-2007-201-140	140	土地	earth	1228	EARTH (SOIL)
Liu-2007-201-141	141	吐	spit	1440	SPIT
Liu-2007-201-142	142	推	push	1452	PUSH
Liu-2007-201-143	143	腿	leg	1297	LEG
Liu-2007-201-144	144	挖	dig	1418	DIG
Liu-2007-201-145	145	玩	play	1413	PLAY
Liu-2007-201-146	146	晚上	night	1233	NIGHT
Liu-2007-201-147	147	尾巴	tail	1220	TAIL
Liu-2007-201-148	148	聞	smell	1586	SMELL (PERCEIVE)
