ID	NUMBER	ENGLISH	SWADESH_1955_100	CONCEPTICON_ID	CONCEPTICON_GLOSS
Trask-1996-207-1	1	all	*	98	ALL
Trask-1996-207-2	2	and		1577	AND
Trask-1996-207-3	3	animal		619	ANIMAL
Trask-1996-207-4	4	ashes	*	646	ASH
Trask-1996-207-5	5	at		1461	AT
Trask-1996-207-6	6	back		1291	BACK
Trask-1996-207-7	7	bad		1292	BAD
Trask-1996-207-8	8	bark	*	1204	BARK
Trask-1996-207-9	9	because		1157	BECAUSE
Trask-1996-207-10	10	belly	*	1251	BELLY
Trask-1996-207-11	11	big	*	1202	BIG
Trask-1996-207-12	12	bird	*	937	BIRD
Trask-1996-207-13	13	bite	*	1403	BITE
Trask-1996-207-14	14	black	*	163	BLACK
Trask-1996-207-15	15	blood	*	946	BLOOD
Trask-1996-207-16	16	blow (v.)		175	BLOW (OF WIND)
Trask-1996-207-17	17	bone	*	1394	BONE
Trask-1996-207-18	18	breathe		1407	BREATHE
Trask-1996-207-19	19	burn	*	2102	BURN
Trask-1996-207-20	20	child		2099	CHILD
Trask-1996-207-21	21	cloud	*	1489	CLOUD
Trask-1996-207-22	22	cold	*	1287	COLD
Trask-1996-207-23	23	come	*	1446	COME
Trask-1996-207-24	24	count		1420	COUNT
Trask-1996-207-25	25	cut (v.)		1432	CUT
Trask-1996-207-26	26	day		1225	DAY (NOT NIGHT)
Trask-1996-207-27	27	die	*	1494	DIE
Trask-1996-207-28	28	dig		1418	DIG
Trask-1996-207-29	29	dirty		1230	DIRTY
Trask-1996-207-30	30	dog	*	2009	DOG
Trask-1996-207-31	31	drink	*	1401	DRINK
Trask-1996-207-32	32	dry	*	1398	DRY
Trask-1996-207-33	33	dull (blunt)		379	BLUNT
Trask-1996-207-34	34	dust		2	DUST
Trask-1996-207-35	35	ear	*	1247	EAR
Trask-1996-207-36	36	earth	*	1228	EARTH (SOIL)
Trask-1996-207-37	37	eat	*	1336	EAT
Trask-1996-207-38	38	egg	*	744	EGG
Trask-1996-207-39	39	eye	*	1248	EYE
Trask-1996-207-40	40	fall (v.)		1280	FALL
Trask-1996-207-41	41	far		1406	FAR
Trask-1996-207-42	42	fat/grease	*	323	FAT (ORGANIC SUBSTANCE)
Trask-1996-207-43	43	father		1217	FATHER
Trask-1996-207-44	44	fear (v.)		1419	FEAR (BE AFRAID)
Trask-1996-207-45	45	feather	*	1201	FEATHER
Trask-1996-207-46	46	few		1242	FEW
Trask-1996-207-47	47	fight (v.)		1423	FIGHT
Trask-1996-207-48	48	fire	*	221	FIRE
Trask-1996-207-49	49	fish	*	227	FISH
Trask-1996-207-50	50	five		493	FIVE
Trask-1996-207-51	51	float		1574	FLOAT
Trask-1996-207-52	52	flow		2003	FLOW
Trask-1996-207-53	53	flower		239	FLOWER
Trask-1996-207-54	54	fly (v.)	*	1441	FLY (MOVE THROUGH AIR)
Trask-1996-207-55	55	fog		249	FOG
Trask-1996-207-56	56	foot	*	1301	FOOT
Trask-1996-207-57	57	four		1500	FOUR
Trask-1996-207-58	58	freeze		1431	FREEZE
Trask-1996-207-59	59	fruit		1507	FRUIT
Trask-1996-207-60	60	give	*	1447	GIVE
Trask-1996-207-61	61	good	*	1035	GOOD
Trask-1996-207-62	62	grass		606	GRASS
Trask-1996-207-63	63	green	*	1425	GREEN
Trask-1996-207-64	64	guts		1334	GUTS
Trask-1996-207-65	65	hair	*	1040	HAIR
Trask-1996-207-66	66	hand	*	1277	HAND
Trask-1996-207-67	67	he		1211	HE
Trask-1996-207-68	68	head	*	1256	HEAD
Trask-1996-207-69	69	hear	*	1408	HEAR
Trask-1996-207-70	70	heart	*	1223	HEART
Trask-1996-207-71	71	heavy		1210	HEAVY
Trask-1996-207-72	72	here		136	HERE
Trask-1996-207-73	73	hit		1433	HIT
Trask-1996-207-74	74	hold/take		2104	HOLD OR TAKE
Trask-1996-207-75	75	how		1239	HOW
Trask-1996-207-76	76	hunt		1435	HUNT
Trask-1996-207-77	77	husband		1200	HUSBAND
Trask-1996-207-78	78	I	*	1209	I
Trask-1996-207-79	79	ice		617	ICE
Trask-1996-207-80	80	if		1459	IF
Trask-1996-207-81	81	in		1460	IN
Trask-1996-207-82	82	kill	*	1417	KILL
Trask-1996-207-83	83	know	*	1410	KNOW (SOMETHING)
Trask-1996-207-84	84	lake		624	LAKE
Trask-1996-207-85	85	laugh		1355	LAUGH
Trask-1996-207-86	86	leaf	*	628	LEAF
Trask-1996-207-87	87	left (side)		244	LEFT
Trask-1996-207-88	88	leg		1297	LEG
Trask-1996-207-89	89	lie (recline)	*	1411	LIE (REST)
Trask-1996-207-90	90	live		1422	BE ALIVE
Trask-1996-207-91	91	liver	*	1224	LIVER
Trask-1996-207-92	92	long	*	1203	LONG
Trask-1996-207-93	93	louse	*	1392	LOUSE
Trask-1996-207-94	94	man/male	*	2106	MALE PERSON
Trask-1996-207-95	95	many	*	1198	MANY
Trask-1996-207-96	96	meat/flesh	*	634	MEAT
Trask-1996-207-97	97	mother		1216	MOTHER
Trask-1996-207-98	98	mountain	*	639	MOUNTAIN
Trask-1996-207-99	99	mouth	*	674	MOUTH
Trask-1996-207-100	100	name	*	1405	NAME
Trask-1996-207-101	101	narrow		1267	NARROW
Trask-1996-207-102	102	near		1942	NEAR
Trask-1996-207-103	103	neck	*	1333	NECK
Trask-1996-207-104	104	new	*	1231	NEW
Trask-1996-207-105	105	night	*	1233	NIGHT
Trask-1996-207-106	106	nose	*	1221	NOSE
Trask-1996-207-107	107	not	*	1240	NOT
Trask-1996-207-108	108	old		1229	OLD
Trask-1996-207-109	109	one	*	1493	ONE
Trask-1996-207-110	110	other		197	OTHER
Trask-1996-207-111	111	person	*	683	PERSON
Trask-1996-207-112	112	play		1413	PLAY
Trask-1996-207-113	113	pull		1455	PULL
Trask-1996-207-114	114	push		1452	PUSH
Trask-1996-207-115	115	rain	*	2108	RAINING OR RAIN
Trask-1996-207-116	116	red	*	156	RED
Trask-1996-207-117	117	right (correct)		1725	CORRECT (RIGHT)
Trask-1996-207-118	118	right (side)		1019	RIGHT
Trask-1996-207-119	119	river		666	RIVER
Trask-1996-207-120	120	road	*	667	ROAD
Trask-1996-207-121	121	root	*	670	ROOT
Trask-1996-207-122	122	rope		1218	ROPE
Trask-1996-207-123	123	rotten		1728	ROTTEN
Trask-1996-207-124	124	rub		1449	RUB
Trask-1996-207-125	125	salt		1274	SALT
Trask-1996-207-126	126	sand	*	671	SAND
Trask-1996-207-127	127	say	*	1458	SAY
Trask-1996-207-128	128	scratch		1436	SCRATCH
Trask-1996-207-129	129	sea		1474	SEA
Trask-1996-207-130	130	see	*	1409	SEE
Trask-1996-207-131	131	seed	*	714	SEED
