ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Bennett-1976-50a-1	619	ANIMAL	1	animal
Bennett-1976-50a-2	587	ANT	2	ant
Bennett-1976-50a-3	977	ARROW	3	arrow
Bennett-1976-50a-4	677	AXE	4	axe
Bennett-1976-50a-5	832	BEAN	5	bean
Bennett-1976-50a-6	678	BEARD	6	beard
Bennett-1976-50a-7	946	BLOOD	7	blood
Bennett-1976-50a-8	1394	BONE	8	bone
Bennett-1976-50a-9	245	BROOM	9	broom
Bennett-1976-50a-10	1683	BUSH	10	bush
Bennett-1976-50a-11	1155	CAVE	11	cave
Bennett-1976-50a-12	1476	CHAIR	12	chair
Bennett-1976-50a-13	1007	COW	13	cow
Bennett-1976-50a-14	11	DARKNESS	14	darkness
Bennett-1976-50a-15	744	EGG	15	egg
Bennett-1976-50a-16	1303	FINGER	16	finger
Bennett-1976-50a-17	221	FIRE	17	fire
Bennett-1976-50a-18	227	FISH	18	fish
Bennett-1976-50a-19	1594	FLOUR	19	flour
Bennett-1976-50a-20	239	FLOWER	20	flower
Bennett-1976-50a-21	256	FOOD	21	food
Bennett-1976-50a-22	503	FROG	22	frog
Bennett-1976-50a-23	606	GRASS	23	grass
Bennett-1976-50a-24	1040	HAIR	24	hair
Bennett-1976-50a-25	263	HERDSMAN	25	herdsman
Bennett-1976-50a-26	1371	KNEE	26	knee
Bennett-1976-50a-27	624	LAKE	27	lake
Bennett-1976-50a-28	1386	LION	28	lion
Bennett-1976-50a-29	634	MEAT	29	meat
Bennett-1976-50a-30	674	MOUTH	30	mouth
Bennett-1976-50a-31	1405	NAME	31	name
Bennett-1976-50a-32	1333	NECK	32	neck
Bennett-1976-50a-33	1221	NOSE	33	nose
Bennett-1976-50a-34	683	PERSON	34	person
Bennett-1976-50a-35	1136	RABBIT	35	rabbit
Bennett-1976-50a-36	658	RAIN (PRECIPITATION)	36	rain
Bennett-1976-50a-37	1490	RAT	37	rat
Bennett-1976-50a-38	801	RIB	38	rib
Bennett-1976-50a-39	666	RIVER	39	river
Bennett-1976-50a-40	671	SAND	40	sand
Bennett-1976-50a-41	1331	SHEEP	41	sheep
Bennett-1976-50a-42	1064	SHIELD	42	shield
Bennett-1976-50a-43	778	SMOKE (EXHAUST)	43	smoke
Bennett-1976-50a-44	945	SPEAR	44	spear
Bennett-1976-50a-45	857	STONE	45	stone
Bennett-1976-50a-46	362	STRING	46	string
Bennett-1976-50a-47	1343	SUN	47	sun
Bennett-1976-50a-48	1380	TOOTH	48	tooth
Bennett-1976-50a-49	1391	TOWN	49	town
Bennett-1976-50a-50	1226	YEAR	50	year
