ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
McElhanon-1967-140-1	1	I	1209	I
McElhanon-1967-140-2	2	thou	1215	THOU
McElhanon-1967-140-3	3	we	1212	WE
McElhanon-1967-140-4	4	who	1235	WHO
McElhanon-1967-140-5	5	what	1236	WHAT
McElhanon-1967-140-6	6	that	78	THAT
McElhanon-1967-140-7	7	this	1214	THIS
McElhanon-1967-140-8	8	one	1493	ONE
McElhanon-1967-140-9	9	two	1498	TWO
McElhanon-1967-140-10	10	(he) says	1458	SAY
McElhanon-1967-140-11	11	moon	1313	MOON
McElhanon-1967-140-12	12	round	1395	ROUND
McElhanon-1967-140-13	13	(it is) full	1429	FULL
McElhanon-1967-140-14	14	(his) knee	1371	KNEE
McElhanon-1967-140-15	15	(its) claw	72	CLAW
McElhanon-1967-140-16	16	breast	1402	BREAST
McElhanon-1967-140-17	17	(he) comes	1446	COME
McElhanon-1967-140-18	18	(he) sits	1416	SIT
McElhanon-1967-140-19	19	(he) gives me	1447	GIVE
McElhanon-1967-140-20	20	(he) stands	1442	STAND
McElhanon-1967-140-21	21	all	98	ALL
McElhanon-1967-140-22	22	many	1198	MANY
McElhanon-1967-140-23	23	night	1233	NIGHT
McElhanon-1967-140-24	24	long	1203	LONG
McElhanon-1967-140-25	25	big	1202	BIG
McElhanon-1967-140-26	26	small	1246	SMALL
McElhanon-1967-140-27	27	star	1430	STAR
McElhanon-1967-140-28	28	sun	1343	SUN
McElhanon-1967-140-29	29	cloud	1489	CLOUD
McElhanon-1967-140-30	30	rain	658	RAIN (PRECIPITATION)
McElhanon-1967-140-31	31	(its) belly	1251	BELLY
McElhanon-1967-140-32	32	(its) nose	1221	NOSE
McElhanon-1967-140-33	33	(its) heart	1223	HEART
McElhanon-1967-140-34	34	(its) fat	323	FAT (ORGANIC SUBSTANCE)
McElhanon-1967-140-35	35	(its) neck	1333	NECK
McElhanon-1967-140-36	36	(its) hair	1040	HAIR
McElhanon-1967-140-37	37	(he) dies	1494	DIE
McElhanon-1967-140-38	38	(he) sees me	1409	SEE
McElhanon-1967-140-39	39	(he) sleeps	1585	SLEEP
McElhanon-1967-140-40	40	(he) eats	1336	EAT
McElhanon-1967-140-41	41	(he) bites it	1403	BITE
McElhanon-1967-140-42	42	black	163	BLACK
McElhanon-1967-140-43	43	green	1425	GREEN
McElhanon-1967-140-44	44	white	1335	WHITE
McElhanon-1967-140-45	45	red	156	RED
McElhanon-1967-140-46	46	yellow	1424	YELLOW
McElhanon-1967-140-47	47	good	1035	GOOD
McElhanon-1967-140-48	48	hot	1286	HOT
McElhanon-1967-140-49	49	new	1231	NEW
McElhanon-1967-140-50	50	(it is) dry	1398	DRY
McElhanon-1967-140-51	51	cold	1287	COLD
McElhanon-1967-140-52	52	(its) name	1405	NAME
McElhanon-1967-140-53	53	not	1240	NOT
McElhanon-1967-140-54	54	(it) burns	1428	BURNING
McElhanon-1967-140-55	55	road	667	ROAD
McElhanon-1967-140-56	56	water	948	WATER
McElhanon-1967-140-57	57	smoke	778	SMOKE (EXHAUST)
McElhanon-1967-140-58	58	(he) hit him	3308	STRIKE (SOMEONE)
McElhanon-1967-140-59	59	(he) knows	3626	KNOW
McElhanon-1967-140-60	60	sand	671	SAND
McElhanon-1967-140-61	61	stone	857	STONE
McElhanon-1967-140-62	62	mountain	639	MOUNTAIN
McElhanon-1967-140-63	63	ashes	646	ASH
McElhanon-1967-140-64	64	earth	1228	EARTH (SOIL)
McElhanon-1967-140-65	65	(its) leaf	628	LEAF
McElhanon-1967-140-66	66	tree	906	TREE
McElhanon-1967-140-67	67	(its) root	670	ROOT
McElhanon-1967-140-68	68	(its) seed	714	SEED
McElhanon-1967-140-69	69	(its) ear	1247	EAR
McElhanon-1967-140-70	70	louse	1392	LOUSE
McElhanon-1967-140-71	71	dog	2009	DOG
McElhanon-1967-140-72	72	bird	937	BIRD
McElhanon-1967-140-73	73	woman	962	WOMAN
McElhanon-1967-140-74	74	man	1554	MAN
McElhanon-1967-140-75	75	(its) blood	946	BLOOD
McElhanon-1967-140-76	76	(his) hand	1277	HAND
McElhanon-1967-140-77	77	(its) tongue	1205	TONGUE
McElhanon-1967-140-78	78	(its) tooth	1380	TOOTH
McElhanon-1967-140-79	79	(its) foot	1301	FOOT
McElhanon-1967-140-80	80	(its) tail	1220	TAIL
McElhanon-1967-140-81	81	(its) meat	634	MEAT
McElhanon-1967-140-82	82	(its) eye	1248	EYE
McElhanon-1967-140-83	83	(its) skin	763	SKIN
McElhanon-1967-140-84	84	(its) head	1256	HEAD
