ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gerardi-2021-248-1	1	ALL	98	ALL
Gerardi-2021-248-2	2	ARM	1673	ARM
Gerardi-2021-248-3	3	ARROW	977	ARROW
Gerardi-2021-248-4	4	ASH	646	ASH
Gerardi-2021-248-5	5	AXE	677	AXE
Gerardi-2021-248-6	6	BACK	1291	BACK
Gerardi-2021-248-7	7	BAD/EVIL	3764	BAD OR EVIL
Gerardi-2021-248-8	8	BAMBOO	1927	BAMBOO
Gerardi-2021-248-9	9	BANANA	868	BANANA
Gerardi-2021-248-10	10	BASKET	1539	BASKET
Gerardi-2021-248-11	11	BAT	1793	BAT
Gerardi-2021-248-12	12	BE_WRONG	1390	WRONG
Gerardi-2021-248-13	13	BEANS	2574	BEAN OR PEA
Gerardi-2021-248-14	14	BEARD	678	BEARD
Gerardi-2021-248-15	15	BELLY	1251	BELLY
Gerardi-2021-248-16	16	BREAK	3020	BREAK (BREAKING)
Gerardi-2021-248-17	17	BIG	1202	BIG
Gerardi-2021-248-18	18	BIRD	937	BIRD
Gerardi-2021-248-19	19	BITE	1403	BITE
Gerardi-2021-248-20	20	BLACK	163	BLACK
Gerardi-2021-248-21	21	BLOW	176	BLOW (WITH MOUTH)
Gerardi-2021-248-22	22	BONE	1394	BONE
Gerardi-2021-248-23	23	BOY	1366	BOY
Gerardi-2021-248-24	24	BRANCH	1531	BRANCH
Gerardi-2021-248-25	25	BREAST	1402	BREAST
Gerardi-2021-248-26	26	BREATHE	1407	BREATHE
Gerardi-2021-248-27	27	BURN_intr	1428	BURNING
Gerardi-2021-248-28	28	BURN_tr	141	BURN (SOMETHING)
Gerardi-2021-248-29	29	BURY	1719	BURY
Gerardi-2021-248-30	30	BUSH	201	FARM
Gerardi-2021-248-31	31	BUTTERFLY	1791	BUTTERFLY
Gerardi-2021-248-32	32	CAIR		
Gerardi-2021-248-33	33	CANOE	1970	CANOE
Gerardi-2021-248-34	34	CASHEW	2441	CASHEW
Gerardi-2021-248-35	35	CLOUD	1489	CLOUD
Gerardi-2021-248-36	36	CHEST	1592	CHEST
Gerardi-2021-248-37	37	COATI	2389	COATI (COATIMUNDI)
Gerardi-2021-248-38	38	COME	1446	COME
