ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Hattori-1973-200-1	1209	I	1	I
Hattori-1973-200-2	1215	THOU	2	thou
Hattori-1973-200-3	1212	WE	3	we
Hattori-1973-200-4	1214	THIS	4	this
Hattori-1973-200-5	78	THAT	5	that
Hattori-1973-200-6	1235	WHO	6	who
Hattori-1973-200-7	1236	WHAT	7	what
Hattori-1973-200-8	1240	NOT	8	not
Hattori-1973-200-9	98	ALL	9	all
Hattori-1973-200-10	1198	MANY	10	many
Hattori-1973-200-11	1493	ONE	11	one
Hattori-1973-200-12	1498	TWO	12	two
Hattori-1973-200-13	1202	BIG	13	big
Hattori-1973-200-14	1246	SMALL	14	small
Hattori-1973-200-15	1203	LONG	15	long
Hattori-1973-200-16	962	WOMAN	16	woman
Hattori-1973-200-17	1554	MAN	17	man
Hattori-1973-200-18	683	PERSON	18	person
Hattori-1973-200-19	227	FISH	19	fish
Hattori-1973-200-20	937	BIRD	20	bird
Hattori-1973-200-21	2009	DOG	21	dog
Hattori-1973-200-22	1392	LOUSE	22	louse
Hattori-1973-200-23	906	TREE	23	tree
Hattori-1973-200-24	1204	BARK	24	bark (of tree)
Hattori-1973-200-25	628	LEAF	25	leaf
Hattori-1973-200-26	670	ROOT	26	root
Hattori-1973-200-27	714	SEED	27	seed
Hattori-1973-200-28	946	BLOOD	28	blood
Hattori-1973-200-29	634	MEAT	29	meat
Hattori-1973-200-30	763	SKIN	30	skin
Hattori-1973-200-31	1394	BONE	31	bone
Hattori-1973-200-32	323	FAT (ORGANIC SUBSTANCE)	32	grease (fat)
Hattori-1973-200-33	744	EGG	33	egg
Hattori-1973-200-34	1393	HORN (ANATOMY)	34	horn
Hattori-1973-200-35	1220	TAIL	35	tail
Hattori-1973-200-36	1201	FEATHER	36	feather
Hattori-1973-200-37	1040	HAIR	37	hair
Hattori-1973-200-38	1256	HEAD	38	head
Hattori-1973-200-39	1247	EAR	39	ear
Hattori-1973-200-40	1248	EYE	40	eye
Hattori-1973-200-41	1221	NOSE	41	nose
Hattori-1973-200-42	674	MOUTH	42	mouth
Hattori-1973-200-43	1380	TOOTH	43	tooth
Hattori-1973-200-44	1205	TONGUE	44	tongue
Hattori-1973-200-45	72	CLAW	45	claw
Hattori-1973-200-46	1301	FOOT	46	foot
Hattori-1973-200-47	1371	KNEE	47	knee
Hattori-1973-200-48	1277	HAND	48	hand
Hattori-1973-200-49	1251	BELLY	49	belly
Hattori-1973-200-50	1333	NECK	50	neck
Hattori-1973-200-51	1402	BREAST	51	breast
Hattori-1973-200-52	1223	HEART	52	heart
Hattori-1973-200-53	1224	LIVER	53	liver
Hattori-1973-200-54	1401	DRINK	54	drink
Hattori-1973-200-55	1336	EAT	55	eat
Hattori-1973-200-56	1403	BITE	56	bite
Hattori-1973-200-57	1409	SEE	57	see
Hattori-1973-200-58	1408	HEAR	58	hear
