ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Dixon-1919-175-1	683	PERSON	1	person
Dixon-1919-175-2	1554	MAN	2	man (1)
Dixon-1919-175-3	1554	MAN	3	man (2)
Dixon-1919-175-4	1366	BOY	4	boy, youth (1)
Dixon-1919-175-5	1366	BOY	5	boy, youth (2)
Dixon-1919-175-6	962	WOMAN	6	woman, †girl (1)
Dixon-1919-175-7	2105	FEMALE PERSON	7	woman, girl (2)
Dixon-1919-175-8	1646	GIRL	8	girl
Dixon-1919-175-9	1289	BABY	9	baby
Dixon-1919-175-10	406	OLD MAN	10	old man
Dixon-1919-175-11	1256	HEAD	11	head (1)
Dixon-1919-175-12	1256	HEAD	11a	11a. head (2)
Dixon-1919-175-13	1256	HEAD	12	head (3)
Dixon-1919-175-14	2648	HAIR (HEAD)	13	hair, forehead
Dixon-1919-175-15	1247	EAR	14	ear (1)
Dixon-1919-175-16	1247	EAR	15	ear (2)
Dixon-1919-175-17	1248	EYE	16	eye (1)
Dixon-1919-175-18	1248	EYE	17	eye (2)
Dixon-1919-175-19	1221	NOSE	18	nose (1)
Dixon-1919-175-20	1221	NOSE	19	nose (2)
Dixon-1919-175-21	674	MOUTH	20	mouth
Dixon-1919-175-22	1380	TOOTH	21	teeth
Dixon-1919-175-23	1205	TONGUE	22	tongue (1)
Dixon-1919-175-24	1205	TONGUE	23	tongue (2)
Dixon-1919-175-25	678	BEARD	24	beard
Dixon-1919-175-26	1510	CHIN	25	chin
Dixon-1919-175-27	1333	NECK	26	neck
Dixon-1919-175-28	1482	SHOULDER	27	shoulder
Dixon-1919-175-29	1277	HAND	28	hand (1)
Dixon-1919-175-30	1277	HAND	29	hand (2)
Dixon-1919-175-31	1673	ARM	30	arm
Dixon-1919-175-32	1896	FINGERNAIL OR TOENAIL	31	nails
Dixon-1919-175-33	1402	BREAST	32	breasts
Dixon-1919-175-34	1251	BELLY	33	belly
Dixon-1919-175-35	1371	KNEE	34	knee (1)
Dixon-1919-175-36	1371	KNEE	35	knee (2)
Dixon-1919-175-37	1371	KNEE	36	knee (3)
Dixon-1919-175-38	1301	FOOT	37	foot, †leg (1)
Dixon-1919-175-39	1301	FOOT	38	foot
Dixon-1919-175-40	1223	HEART	39	heart (1)
Dixon-1919-175-41	1223	HEART	40	heart (2)
Dixon-1919-175-42	1394	BONE	41	bone
Dixon-1919-175-43	946	BLOOD	42	blood (1)
Dixon-1919-175-44	946	BLOOD	43	blood (2)
Dixon-1919-175-45	1224	LIVER	44	liver
Dixon-1919-175-46	323	FAT (ORGANIC SUBSTANCE)	45	fat
Dixon-1919-175-47	763	SKIN	46	skin
Dixon-1919-175-48	675	FAECES (EXCREMENT)	47	faeces (1)
Dixon-1919-175-49	675	FAECES (EXCREMENT)	48	faeces (2)
Dixon-1919-175-50	1142	URINE	49	urine
Dixon-1919-175-51	1137	TENDON	50	sinew
Dixon-1919-175-52	1393	HORN (ANATOMY)	51	horn
Dixon-1919-175-53	1220	TAIL	52	tail (1)
