ID	NUMBER	MITTERHOFER_2013_95	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-300-1	1	25	eye	1248	EYE
Mitterhofer-2013-300-2	2	26	eyebrow	1173	EYEBROW
Mitterhofer-2013-300-3	3		ear	1247	EAR
Mitterhofer-2013-300-4	4		mouth	674	MOUTH
Mitterhofer-2013-300-5	5		jawbone	798	JAW
Mitterhofer-2013-300-6	6		nose	1221	NOSE
Mitterhofer-2013-300-7	7		chin	1510	CHIN
Mitterhofer-2013-300-8	8		beard	678	BEARD
Mitterhofer-2013-300-9	9		tooth	1380	TOOTH
Mitterhofer-2013-300-10	10		tongue	1205	TONGUE
Mitterhofer-2013-300-11	11		head	1256	HEAD
Mitterhofer-2013-300-12	12		hair (human)	1040	HAIR
Mitterhofer-2013-300-13	13		neck	1333	NECK
Mitterhofer-2013-300-14	14		belly	1251	BELLY
Mitterhofer-2013-300-15	15		back	1291	BACK
Mitterhofer-2013-300-16	16		backbone	805	SPINE
Mitterhofer-2013-300-17	17		knee	1371	KNEE
Mitterhofer-2013-300-18	18		leg	1297	LEG
Mitterhofer-2013-300-19	19		foot	1301	FOOT
Mitterhofer-2013-300-20	20	2	arm	1673	ARM
Mitterhofer-2013-300-21	21		hand	1277	HAND
Mitterhofer-2013-300-22	22		fingernail	1258	FINGERNAIL
Mitterhofer-2013-300-23	23	29	finger	1303	FINGER
Mitterhofer-2013-300-24	24		armpit	1886	ARMPIT
Mitterhofer-2013-300-25	25		skin (human)	2613	SKIN (HUMAN)
Mitterhofer-2013-300-26	26		skin (animal)	2614	SKIN (ANIMAL)
Mitterhofer-2013-300-27	27		bone	1394	BONE
Mitterhofer-2013-300-28	28	12	blood	946	BLOOD
Mitterhofer-2013-300-29	29		heart	1223	HEART
Mitterhofer-2013-300-30	30		lung	688	LUNG
Mitterhofer-2013-300-31	31		liver	1224	LIVER
Mitterhofer-2013-300-32	32		voice	1363	VOICE
Mitterhofer-2013-300-33	33		horn (of animal)	1393	HORN (ANATOMY)
Mitterhofer-2013-300-34	34		wing (of bird)	1257	WING
Mitterhofer-2013-300-35	35		feathers	1201	FEATHER
Mitterhofer-2013-300-36	36		tail (of mammal)	1220	TAIL
Mitterhofer-2013-300-37	37	23	egg	744	EGG
Mitterhofer-2013-300-38	38	10	honey	942	HONEY
Mitterhofer-2013-300-39	39		milk (of cow)	635	MILK
Mitterhofer-2013-300-40	40		meat	634	MEAT
Mitterhofer-2013-300-41	41		person	683	PERSON
Mitterhofer-2013-300-42	42	57	man	1554	MAN
Mitterhofer-2013-300-43	43	47	husband	1200	HUSBAND
Mitterhofer-2013-300-44	44	84	woman	962	WOMAN
Mitterhofer-2013-300-45	45		wife	1199	WIFE
Mitterhofer-2013-300-46	46		father	1217	FATHER
Mitterhofer-2013-300-47	47		mother	1216	MOTHER
Mitterhofer-2013-300-48	48	63	brother (older, same sex)	1759	OLDER BROTHER
Mitterhofer-2013-300-49	49		mother's brother	1984	MOTHER'S BROTHER
Mitterhofer-2013-300-50	50		child	2099	CHILD
Mitterhofer-2013-300-51	51	14	son/boy	2391	BOY OR SON
Mitterhofer-2013-300-52	52	33	daughter/girl	2392	DAUGHTER OR GIRL
Mitterhofer-2013-300-53	53		twins	1005	TWINS
Mitterhofer-2013-300-54	54		chief	301	CHIEFTAIN
Mitterhofer-2013-300-55	55		God	1944	GOD
Mitterhofer-2013-300-56	56		sickness	1986	DISEASE
Mitterhofer-2013-300-57	57		sore	51	SORE
Mitterhofer-2013-300-58	58		medicine	1372	MEDICINE
Mitterhofer-2013-300-59	59		body (human)	1480	BODY
Mitterhofer-2013-300-60	60		name	1405	NAME
Mitterhofer-2013-300-61	61		wild animal	958	WILD ANIMAL
Mitterhofer-2013-300-62	62		dog	2009	DOG
Mitterhofer-2013-300-63	63	16	cat	1208	CAT
Mitterhofer-2013-300-64	64	24	elephant	1290	ELEPHANT
Mitterhofer-2013-300-65	65	55	lion	1386	LION
Mitterhofer-2013-300-66	66		bat	1793	BAT
Mitterhofer-2013-300-67	67		butterfly	1791	BUTTERFLY
Mitterhofer-2013-300-68	68	34	goat	1502	GOAT
Mitterhofer-2013-300-69	69	21	cow	1007	COW
Mitterhofer-2013-300-70	70		bull	1008	BULL
Mitterhofer-2013-300-71	71		calf	1989	CALF
Mitterhofer-2013-300-72	72	18	chicken	1318	CHICKEN
Mitterhofer-2013-300-73	73		cock/roooster	1878	COCK
Mitterhofer-2013-300-74	74		bird	937	BIRD
Mitterhofer-2013-300-75	75		snake	730	SNAKE
Mitterhofer-2013-300-76	76		fish	227	FISH
Mitterhofer-2013-300-77	77	9	bee	665	BEE
Mitterhofer-2013-300-78	78		head louse	310	HEAD LOUSE
Mitterhofer-2013-300-79	79	81	tree	906	TREE
Mitterhofer-2013-300-80	80	6	bark (of tree)	1204	BARK
Mitterhofer-2013-300-81	81	54	leaf	628	LEAF
Mitterhofer-2013-300-82	82		branch (of tree)	1531	BRANCH
Mitterhofer-2013-300-83	83		shade (of tree)	1388	SHADE
Mitterhofer-2013-300-84	84		walking stick	1296	WALKING STICK
Mitterhofer-2013-300-85	85		root (of tree)	670	ROOT
Mitterhofer-2013-300-86	86	69	seed	714	SEED
Mitterhofer-2013-300-87	87		grass	606	GRASS
Mitterhofer-2013-300-88	88		flowers	239	FLOWER
Mitterhofer-2013-300-89	89		thorn	124	THORN
Mitterhofer-2013-300-90	90	28	field	212	FIELD
Mitterhofer-2013-300-91	91	43	house	1252	HOUSE
