ID	NUMBER	SPANISH	ENGLISH	SWADESH_1955_100	CONCEPTICON_ID	CONCEPTICON_GLOSS
Morse-1996-375-1	1	lengua	tongue	*	1205	TONGUE
Morse-1996-375-2	2	boca	mouth	*	674	MOUTH
Morse-1996-375-3	3	labio	lip	*	478	LIP
Morse-1996-375-4	4	diente	tooth	*	1380	TOOTH
Morse-1996-375-5	5	nariz	nose	*	1221	NOSE
Morse-1996-375-6	6	ojo	eye	*	1248	EYE
Morse-1996-375-7	7	oreja	ear	*	1247	EAR
Morse-1996-375-8	8	cabeza	head	*	1256	HEAD
Morse-1996-375-9	9	frente	forehead	*	123	FOREHEAD
Morse-1996-375-10	10	cabello	hair	*	2648	HAIR (HEAD)
Morse-1996-375-11	11	mentón	chin		1510	CHIN
Morse-1996-375-12	12	barba	beard		678	BEARD
Morse-1996-375-13	13	cuello	neck	*	1333	NECK
Morse-1996-375-14	14	pecho	chest	*	1592	CHEST
Morse-1996-375-15	15	teta, seno, pechos	woman’s breast		1402	BREAST
Morse-1996-375-16	16	vientre, abdomen	abdomen			
Morse-1996-375-17	17	espalda	back	*	1291	BACK
Morse-1996-375-18	18	hombro	shoulder		1482	SHOULDER
Morse-1996-375-19	19	brazo	arm	*	1673	ARM
Morse-1996-375-20	20	brazo superior	upper arm		431	UPPER ARM
Morse-1996-375-21	21	codo	elbow		981	ELBOW
Morse-1996-375-22	22	mano	hand	*	1277	HAND
Morse-1996-375-23	23	dedo de la mano	finger		1303	FINGER
Morse-1996-375-24	24	uña	fingernail		1258	FINGERNAIL
Morse-1996-375-25	25	pierna	leg	*	1297	LEG
Morse-1996-375-26	26	muslo	thigh		471	UPPER LEG (THIGH)
Morse-1996-375-27	27	rodilla	knee	*	1371	KNEE
Morse-1996-375-28	28	espinilla	shin		186	SHIN
Morse-1996-375-29	29	pie	foot	*	1301	FOOT
Morse-1996-375-30	30	dedo del pie	toe		1389	TOE
Morse-1996-375-31	31	piel	skin	*	763	SKIN
Morse-1996-375-32	32	hueso	bone	*	1394	BONE
Morse-1996-375-33	33	sangre	blood		946	BLOOD
Morse-1996-375-34	34	corazón	heart	*	1223	HEART
Morse-1996-375-35	35	pulmones	lungs		688	LUNG
Morse-1996-375-36	36	pene	penis		1222	PENIS
Morse-1996-375-37	37	vulva	vulva		1837	VULVA
Morse-1996-375-38	38	hombre	man	*	1554	MAN
Morse-1996-375-39	39	varón	man		2106	MALE PERSON
Morse-1996-375-40	40	mujer	woman	*	962	WOMAN
Morse-1996-375-41	41	gente	people	*	789	PEOPLE
Morse-1996-375-42	42	marido	husband	*	1200	HUSBAND
Morse-1996-375-43	43	esposa	wife	*	1199	WIFE
Morse-1996-375-44	44	papá	father	*	1217	FATHER
Morse-1996-375-45	45	mamá	mother	*	1216	MOTHER
Morse-1996-375-46	46	criatura	baby infant		1289	BABY
Morse-1996-375-47	47	viejo	old man		406	OLD MAN
Morse-1996-375-48	48	agua	water	*	948	WATER
Morse-1996-375-49	49	rio	river	*	666	RIVER
Morse-1996-375-50	50	isla	island		622	ISLAND
Morse-1996-375-51	51	lago	lake	*	624	LAKE
Morse-1996-375-52	52	pantano	swamp		1145	SWAMP
Morse-1996-375-53	53	fuente, ojo de agua	spring of water		849	SPRING (OF WATER)
Morse-1996-375-54	54	caida de agua	waterfall		943	WATERFALL
Morse-1996-375-55	55	catarata, raudal	rapids		1670	RAPIDS
Morse-1996-375-56	56	candela, fuego	fire	*	221	FIRE
Morse-1996-375-57	57	ceniza	ash	*	646	ASH
Morse-1996-375-58	58	carbón	charcoal		1188	CHARCOAL
Morse-1996-375-59	59	humo	smoke	*	778	SMOKE (EXHAUST)
Morse-1996-375-60	60	leña	firewood		10	FIREWOOD
Morse-1996-375-61	61	cielo	sky	*	1732	SKY
Morse-1996-375-62	62	lluvia	rain	*	658	RAIN (PRECIPITATION)
Morse-1996-375-63	63	viento	wind	*	960	WIND
Morse-1996-375-64	64	sol	sun	*	1343	SUN
Morse-1996-375-65	65	luna	moon	*	1313	MOON
Morse-1996-375-66	66	estrella	star	*	1430	STAR
Morse-1996-375-67	67	día	day	*	1225	DAY (NOT NIGHT)
Morse-1996-375-68	68	noche	night	*	1233	NIGHT
Morse-1996-375-69	69	trueno	thunder		1150	THUNDER
Morse-1996-375-70	70	relámpago	lightning		1654	LIGHTNING
Morse-1996-375-71	71	arco iris	rainbow		1733	RAINBOW
Morse-1996-375-72	72	tierra	earth	*	1228	EARTH (SOIL)
Morse-1996-375-73	73	piedra	stone	*	857	STONE
Morse-1996-375-74	74	arena	sand	*	671	SAND
Morse-1996-375-75	75	casa	house		1252	HOUSE
Morse-1996-375-76	76	techo	roof		769	ROOF
Morse-1996-375-77	77	puerta	doorway		1567	DOOR
Morse-1996-375-78	78	banco	seat, stool		2058	STOOL
Morse-1996-375-79	79	estera	mat		195	MAT
Morse-1996-375-80	80	hamaca	hammock		2019	HAMMOCK
Morse-1996-375-81	81	catre, cama de barbacoa	bed		1663	BED
Morse-1996-375-82	82	olla	cooking pot		3653	COOKING POT
Morse-1996-375-83	83	roza, chagra	cultivated clearing		212	FIELD
Morse-1996-375-84	84	caserío	village		930	VILLAGE
Morse-1996-375-85	85	camino, sendero, trocha	path, trail	*	2457	PATH OR ROAD
Morse-1996-375-86	86	red	fish net		388	FISHNET
Morse-1996-375-87	87	anzuelo	fish hook		1074	FISHHOOK
Morse-1996-375-88	88	hacha	axe		677	AXE
Morse-1996-375-89	89	cuchillo	knife		1352	KNIFE
Morse-1996-375-90	90	canoa	canoe		1970	CANOE
Morse-1996-375-91	91	remo	paddle		3137	OAR
Morse-1996-375-92	92	porra, macana	club		1763	CLUB
Morse-1996-375-93	93	lanza	spear		945	SPEAR
Morse-1996-375-94	94	arco	bow		994	BOW
Morse-1996-375-95	95	flecha	arrow		977	ARROW
Morse-1996-375-96	96	cerbatana	blowgun		432	BLOWGUN
Morse-1996-375-97	97	danta	tapir		312	TAPIR
Morse-1996-375-98	98	tigre	jaguar		1250	JAGUAR
Morse-1996-375-99	99	leon, puma	puma		1891	PUMA
Morse-1996-375-100	100	armadillo, quirquincho, carachupa	armadillo		1885	ARMADILLO
Morse-1996-375-101	101	perro	dog		2009	DOG
Morse-1996-375-102	102	venado	deer		1936	DEER
Morse-1996-375-103	103	murciélago	bat		1793	BAT
Morse-1996-375-104	104	nutria	otter		15	OTTER
Morse-1996-375-105	105	capuchin, machin	cebus monkey		439	CEBUS MONKEY
Morse-1996-375-106	106	mono allador	howler monkey		433	HOWLER MONKEY
Morse-1996-375-107	107	marimonda, maquisapa	spider monkey		434	SPIDER MONKEY
Morse-1996-375-108	108	chigüiro, ronsoco	capybara		314	CAPYBARA
Morse-1996-375-109	109	oso hormiguero	anteater		181	ANTEATER
Morse-1996-375-110	110	paca, guagua, majas	paca		316	PACA
Morse-1996-375-111	111	caimán	crocodile		1857	CROCODILE
Morse-1996-375-112	112	iguana	iguana		1578	IGUANA
Morse-1996-375-113	113	tortuga	tortoise		895	TORTOISE
Morse-1996-375-114	114	tortuga, motelo	river turtle		112	TURTLE
Morse-1996-375-115	115	saíno	collared peccary		435	COLLARED PECCARY
Morse-1996-375-116	116	jabalí mayor	white-lipped peccary		436	WHITE-LIPPED PECCARY
Morse-1996-375-117	117	agutí	agouti		313	AGOUTI
Morse-1996-375-118	118	rata	rat		1490	RAT
Morse-1996-375-119	119	gato	cat		1208	CAT
Morse-1996-375-120	120	ratón	mouse		1491	MOUSE
Morse-1996-375-121	121	cola	tail	*	1220	TAIL
Morse-1996-375-122	122	serpiente, culebra	snake	*	730	SNAKE
Morse-1996-375-123	123	anaconda	anaconda, water boa		896	ANACONDA (WATER BOA)
Morse-1996-375-124	124	cascabel	rattlesnake		871	RATTLESNAKE
Morse-1996-375-125	125	coral	coral snake		2240	CORAL SNAKE
Morse-1996-375-126	126	sapo	toad	*	894	TOAD
Morse-1996-375-127	127	pájaro	bird		937	BIRD
Morse-1996-375-128	128	picaflor, colibrí	hummingbird		1589	HUMMINGBIRD
Morse-1996-375-129	129	guacamayo	macaw		1630	MACAW
Morse-1996-375-130	130	tucán, pinsha	toucan		308	TOUCAN
Morse-1996-375-131	131	loro	parrot		882	PARROT
Morse-1996-375-132	132	perico, pihuicho	parakeet		886	PARAKEET
Morse-1996-375-133	133	gallinazo	buzzard		1865	BUZZARD
Morse-1996-375-134	134	pavo	curassow		315	CURASSOW
Morse-1996-375-135	135	lechuza	owl		735	OWL
Morse-1996-375-136	136	pava de monte	guan		437	GUAN
Morse-1996-375-137	137	gallina	hen		1514	HEN
Morse-1996-375-138	138	pescado	fish	*	227	FISH
Morse-1996-375-139	139	caribe	piranha		317	PIRANHA
Morse-1996-375-140	140	abeja	bee		665	BEE
Morse-1996-375-141	141	mosca	fly		1504	FLY (INSECT)
Morse-1996-375-142	142	pulga	flea		232	FLEA
Morse-1996-375-143	143	piojo	louse	*	1392	LOUSE
Morse-1996-375-144	144	zancudo	mosquito		1509	MOSQUITO
Morse-1996-375-145	145	comején, hormiga blanca	termite		883	TERMITE
Morse-1996-375-146	146	hormiga	ant		587	ANT
Morse-1996-375-147	147	araña	spider		843	SPIDER
Morse-1996-375-148	148	nigua, pique	chigger		438	CHIGGOE (JIGGER FLEA)
Morse-1996-375-149	149	monte	bush		1683	BUSH
Morse-1996-375-150	150	pajonal, sabana	open grassland		260	SAVANNA
Morse-1996-375-151	151	cerro, loma	hill		614	HILL
Morse-1996-375-152	152	árbol	tree	*	906	TREE
Morse-1996-375-153	153	hoja	leaf	*	628	LEAF
Morse-1996-375-154	154	hoja de árbol	tree leaf			
Morse-1996-375-155	155	flor	flower	*	239	FLOWER
Morse-1996-375-156	156	fruta	fruit	*	1507	FRUIT
Morse-1996-375-157	157	savia	sap		345	SAP
Morse-1996-375-158	158	raíz	root	*	670	ROOT
Morse-1996-375-159	159	semilla	seed	*	714	SEED
Morse-1996-375-160	160	palo	stick		1295	STICK
Morse-1996-375-161	161	hierba	grass	*	606	GRASS
Morse-1996-375-162	162	maíz	corn, maize		506	MAIZE
Morse-1996-375-163	163	yuca	manioc		925	CASSAVA
Morse-1996-375-164	164	harina de yuca	manioc flour		324	MANIOC FLOUR
Morse-1996-375-165	165	tabaco	tobacco		974	TOBACCO
Morse-1996-375-166	166	algodón	cotton		1850	COTTON
Morse-1996-375-167	167	calabazo poro	gourd		411	GOURD
Morse-1996-375-168	168	ñame	yam		410	YAM
Morse-1996-375-169	169	camote	sweet potato		159	SWEET POTATO
Morse-1996-375-170	170	achiote, bija	achiote		349	ACHIOTE
Morse-1996-375-171	171	ají	chili pepper		919	CHILI PEPPER
Morse-1996-375-172	172	coca	coca		137	COCA
Morse-1996-375-173	173	ayahuasca, yajé	Banisterium		276	BANISTERIUM
Morse-1996-375-174	174	plátano	plantain		399	PLANTAIN
Morse-1996-375-175	175	chonta	chonta palm		440	CHONTA PALM
Morse-1996-375-176	176	asahi, manaca, yaguarrama	assai palm			
Morse-1996-375-177	177	palma mirití	miriti palm		3811	MIRITI PALM
Morse-1996-375-178	178	cana brava	cane		659	REED
Morse-1996-375-179	179	sal	salt	*	1274	SALT
Morse-1996-375-180	180	chicha, masato	chicha		441	CHICHA
Morse-1996-375-181	181	uno	one	*	1493	ONE
Morse-1996-375-182	182	dos	two	*	1498	TWO
Morse-1996-375-183	183	tres	three	*	492	THREE
Morse-1996-375-184	184	cuatro	four	*	1500	FOUR
Morse-1996-375-185	185	cinco	five	*	493	FIVE
Morse-1996-375-186	186	seis	six		1703	SIX
Morse-1996-375-187	187	siete	seven		1704	SEVEN
Morse-1996-375-188	188	ocho	eight		1705	EIGHT
Morse-1996-375-189	189	nueve	nine		1483	NINE
Morse-1996-375-190	190	diez	ten		1515	TEN
Morse-1996-375-191	191	primero	first		728	FIRST
Morse-1996-375-192	192	último	last		1529	LAST (FINAL)
Morse-1996-375-193	193	sonajero, maraca	rattle		300	RATTLE
Morse-1996-375-194	194	tambor	drum		908	DRUM
Morse-1996-375-195	195	cushma	cushma		450	CUSHMA
Morse-1996-375-196	196	orejera, arete	ear ornament			
Morse-1996-375-197	197	máscara	mask		2005	MASK
Morse-1996-375-198	198	curandero	medicine man		394	SHAMAN (FOLK HEALER)
Morse-1996-375-199	199	cacique, curaca, capitán	chief		301	CHIEFTAIN
Morse-1996-375-200	200	yo	I	*	1209	I
Morse-1996-375-201	201	tú	thou	*	1215	THOU
Morse-1996-375-202	202	él	he	*	1211	HE
Morse-1996-375-203	203	ella	she		1834	SHE
Morse-1996-375-204	204	ello	it		169	IT
Morse-1996-375-205	205	nosotros	we	*	1212	WE
Morse-1996-375-206	206	vosotros	ye	*	1213	YOU
Morse-1996-375-207	207	ellos	they	*	817	THEY
Morse-1996-375-208	208	mi mano	my hand			
Morse-1996-375-209	209	tu mano	thy hand			
Morse-1996-375-210	210	su mano	his hand			
Morse-1996-375-211	211	nuestras manos	our hands			
Morse-1996-375-212	212	vuestras manos	your hands			
Morse-1996-375-213	213	sus manos de ellos	their hands			
Morse-1996-375-214	214	mi arco	my bow			
Morse-1996-375-215	215	tu arco	thy bow			
Morse-1996-375-216	216	su arco – de él	his bow			
Morse-1996-375-217	217	nuestro arco	our bow			
Morse-1996-375-218	218	vuestro arco	your bow			
Morse-1996-375-219	219	su arco – de ellos	their bow			
Morse-1996-375-220	220	grande	big	*	1202	BIG
Morse-1996-375-221	221	pequeño	small	*	1246	SMALL
Morse-1996-375-222	222	frío	cold	*	1287	COLD
Morse-1996-375-223	223	caliente	hot	*	1286	HOT
Morse-1996-375-224	224	bueno	good	*	1035	GOOD
Morse-1996-375-225	225	malo	bad	*	1292	BAD
Morse-1996-375-226	226	blanco	white	*	1335	WHITE
Morse-1996-375-227	227	negro	black	*	163	BLACK
Morse-1996-375-228	228	vaya, ve	go!			
Morse-1996-375-229	229	ven	come!			
Morse-1996-375-230	230	come	eat!			
Morse-1996-375-231	231	bebe!	drink!			
Morse-1996-375-232	232	duerme!	sleep!			
Morse-1996-375-233	233	corona	crown of head		1943	CROWN (OF HEAD)
Morse-1996-375-234	234	dientes delanteros incisivos	front teeth		442	FRONT TOOTH (INCISOR)
Morse-1996-375-235	235	punta de la lengua	tip tongue		443	TIP (OF TONGUE)
Morse-1996-375-236	236	pelo largo	long hair		444	LONG HAIR
Morse-1996-375-237	237	toda la garganta y cuello	around the neck			
Morse-1996-375-238	238	nuez de la garganta	Adam’s apple		802	ADAM'S APPLE
Morse-1996-375-239	239	espalda, parte superior	upper back		445	UPPER BACK
Morse-1996-375-240	240	antebrazo	lower arm		446	LOWER ARM
Morse-1996-375-241	241	muñeca	wrist		799	WRIST
Morse-1996-375-242	242	la pierna inferior	lower leg		447	LOWER LEG
Morse-1996-375-243	243	el pelo del cuerpo	body hair		189	HAIR (BODY)
Morse-1996-375-244	244	estómago	stomach		819	STOMACH
Morse-1996-375-245	245	intestinos	intestines	*	1991	INTESTINES
Morse-1996-375-246	246	viejita	old woman		907	OLD WOMAN
Morse-1996-375-247	247	nubes quietas	clouds at rest	*	1489	CLOUD
Morse-1996-375-248	248	nubes de tormenta	storm clouds		448	STORM CLOUDS
Morse-1996-375-249	249	chagra	corn field		449	CORN FIELD
Morse-1996-375-250	250	quebrada	stream		947	STREAM
Morse-1996-375-251	251	piedrecillas	pebbles		961	PEBBLES
Morse-1996-375-252	252	rocas	huge rocks		3810	BOULDER
Morse-1996-375-253	253	trocha	path		2252	PATH
Morse-1996-375-254	254	persianas	venetian blinds			
Morse-1996-375-255	255	tambo	shelter			
Morse-1996-375-256	256	este	this		1214	THIS
Morse-1996-375-257	257	aquel	that		78	THAT
Morse-1996-375-258	258	quien	who		1235	WHO
Morse-1996-375-259	259	que	what		1236	WHAT
Morse-1996-375-260	260	no	not		1240	NOT
Morse-1996-375-261	261	todos	all		98	ALL
Morse-1996-375-262	262	muchos	many		1198	MANY
Morse-1996-375-263	263	largo	long		1203	LONG
Morse-1996-375-264	264	corteza	bark		1204	BARK
Morse-1996-375-265	265	carne	flesh		2615	FLESH OR MEAT
Morse-1996-375-266	266	sangre	blood		946	BLOOD
Morse-1996-375-267	267	grase	grease		323	FAT (ORGANIC SUBSTANCE)
Morse-1996-375-268	268	huevo	egg		744	EGG
Morse-1996-375-269	269	cuerno	horn		1393	HORN (ANATOMY)
Morse-1996-375-270	270	pluma	feather		1201	FEATHER
Morse-1996-375-271	271	uña	claw		72	CLAW
Morse-1996-375-272	272	barriga	belly		1251	BELLY
Morse-1996-375-273	273	hígado	liver		1224	LIVER
Morse-1996-375-274	274	beber	drink		1401	DRINK
Morse-1996-375-275	275	comer	eat		1336	EAT
Morse-1996-375-276	276	morder	bite		1403	BITE
Morse-1996-375-277	277	ver	see		1409	SEE
Morse-1996-375-278	278	oir	hear		1408	HEAR
Morse-1996-375-279	279	saber	know		1410	KNOW (SOMETHING)
Morse-1996-375-280	280	dormir	sleep		1585	SLEEP
Morse-1996-375-281	281	morir	die		1494	DIE
Morse-1996-375-282	282	matar	kill		1417	KILL
Morse-1996-375-283	283	nadar	swim		1439	SWIM
Morse-1996-375-284	284	volar	fly		1441	FLY (MOVE THROUGH AIR)
Morse-1996-375-285	285	andar	walk		1443	WALK
Morse-1996-375-286	286	venir	come		1446	COME
Morse-1996-375-287	287	acostado	lie		1411	LIE (REST)
Morse-1996-375-288	288	sentarse, sentado	sit		1416	SIT
Morse-1996-375-289	289	ponerse en pie, de pie	stand		570	STAND UP
Morse-1996-375-290	290	dar	give		1447	GIVE
Morse-1996-375-291	291	decir	say		1458	SAY
Morse-1996-375-292	292	arder	burn		1428	BURNING
Morse-1996-375-293	293	montaña	mountain		639	MOUNTAIN
Morse-1996-375-294	294	rojo	red		156	RED
Morse-1996-375-295	295	verde	green		1425	GREEN
Morse-1996-375-296	296	amarillo	yellow		1424	YELLOW
Morse-1996-375-297	297	lleno	full		1429	FULL
Morse-1996-375-298	298	nuevo	new		1231	NEW
Morse-1996-375-299	299	redondo	round		1395	ROUND
Morse-1996-375-300	300	seco	dry		1398	DRY
Morse-1996-375-301	301	nombre	name		1405	NAME
Morse-1996-375-302	302	como	how		1239	HOW
Morse-1996-375-303	303	cuando	when		1238	WHEN
Morse-1996-375-304	304	donde	where		1237	WHERE
Morse-1996-375-305	305	aquí	here		136	HERE
Morse-1996-375-306	306	allí	there		1937	THERE
Morse-1996-375-307	307	otro	other		197	OTHER
Morse-1996-375-308	308	pocos	few		1242	FEW
Morse-1996-375-309	309	neblina	fog		249	FOG
Morse-1996-375-310	310	fluir	flow		2003	FLOW
Morse-1996-375-311	311	mar	sea		1474	SEA
Morse-1996-375-312	312	mojado	wet		1726	WET
Morse-1996-375-313	313	lavar	wash		1453	WASH
Morse-1996-375-314	314	gusano	worm		1219	WORM
Morse-1996-375-315	315	ala	wing		1257	WING
Morse-1996-375-316	316	piel peluda	fur		580	FUR
Morse-1996-375-317	317	ombligo	navel		1838	NAVEL
Morse-1996-375-318	318	saliva	saliva		1503	SALIVA
Morse-1996-375-319	319	leche	milk		635	MILK
Morse-1996-375-320	320	con	with		1340	WITH
Morse-1996-375-321	321	en	in		1460	IN
Morse-1996-375-322	322	en, lugar definido	at		1461	AT
Morse-1996-375-323	323	si	if		1459	IF
Morse-1996-375-324	324	hielo	ice		617	ICE
Morse-1996-375-325	325	nieve	snow		784	SNOW
Morse-1996-375-326	326	helarse	freeze		1431	FREEZE
Morse-1996-375-327	327	niño	child		2099	CHILD
Morse-1996-375-328	328	oscuro	dark		706	DARK
Morse-1996-375-329	329	cortar	cut		1432	CUT
Morse-1996-375-330	330	ancho	wide		1243	WIDE
Morse-1996-375-331	331	estrecho	narrow		1267	NARROW
Morse-1996-375-332	332	lejos	far		1406	FAR
Morse-1996-375-333	333	cerca	near		1942	NEAR
Morse-1996-375-334	334	grueso	thick		1244	THICK
Morse-1996-375-335	335	delgado	thin		1400	THIN (SLIM)
Morse-1996-375-336	336	corto	short		1645	SHORT
Morse-1996-375-337	337	pesado	heavy		1210	HEAVY
Morse-1996-375-338	338	embotado	dull		379	BLUNT
Morse-1996-375-339	339	afilado	sharp		1396	SHARP
Morse-1996-375-340	340	sucio	dirty		1230	DIRTY
Morse-1996-375-341	341	podrido	rotten		1728	ROTTEN
Morse-1996-375-342	342	liso	smooth		1234	SMOOTH
Morse-1996-375-343	343	recto	straight		1404	STRAIGHT
Morse-1996-375-344	344	correcto	correct		1725	CORRECT (RIGHT)
Morse-1996-375-345	345	izquierdo	left		244	LEFT
Morse-1996-375-346	346	derecho	right		1019	RIGHT
Morse-1996-375-347	347	viejo	old		1229	OLD
Morse-1996-375-348	348	frotar	rub		1449	RUB
Morse-1996-375-349	349	jalar, halar	pull		1455	PULL
Morse-1996-375-350	350	empujar	push		1452	PUSH
Morse-1996-375-351	351	echar	throw		1456	THROW
Morse-1996-375-352	352	golpear	hit		353	STRIKE
Morse-1996-375-353	353	hender	split		1437	SPLIT
Morse-1996-375-354	354	punzar	pierce		398	PIERCE
